"Name","Service","Rank","Role and unit","Date of award","Notes","Image"
"Gordon Gollob+","Luftwaffe","Hauptmann","Gruppenkommandeur of the II./Jagdgeschwader 3","18 September 1941","Awarded 38th Oak Leaves 26 October 1941
13th Swords 23 June 1942
3rd Diamonds 30 August 1942",""
"Friedrich Gollwitzer","Heer","Generalleutnant","Commander of the 88. Infanterie-Division","8 February 1943","—","—"
"Albert Graf von der Goltz+","Heer","Major of the Reserves","Commander of the I./Infanterie-Regiment 415","7 May 1942","Awarded 316th Oak Leaves 2 November 1943",""
"Kurt Goltzsch","Luftwaffe","Leutnant","Pilot in the 5./Jagdgeschwader 2 \"Richthofen\"","5 February 1944","—","—"
"Herbert Golz?","Waffen-SS","SS-Standartenführer and Oberst of the Schupo","Chief of the Generalstab of the X. SS-Armeekorps and leader of a Kampfgruppe","3 May 1945","—","—"
"Richard Gombert","Heer","Oberleutnant of the Reserves","Leader of the 6./Jäger-Regiment 83","23 February 1944","—","—"
"Herbert Gomille","Heer","Hauptmann","Commander of the II./Panzer-Regiment 4","25 October 1942","—","—"
"Wilhelm Goriany","Heer","Major","Commander of the II./Gebirgs-Artillerie-Regiment 85","18 July 1943","—","—"
"Walter Gorn+","Heer","Major","Commander of the I./Schützen-Regiment 10","20 April 1941","Awarded 113th Oak Leaves 17 August 1942
30th Swords 8 June 1943","—"
"Alfred Gorski","Heer","Unteroffizier","Group leader in the 4.(MG)/Grenadier-Regiment 576","21 January 1945","—","—"
"Artur Gorski","Heer","Unteroffizier","Group leader in the 3./Grenadier-Regiment 30 (motorized)","28 November 1943","—","—"
"Ferdinand Gosewisch","Heer","Oberst of the Reserves","Commander of Artillerie-Regiment 362","4 July 1944","—","—"
"Heinz Gossow","Luftwaffe","Oberfeldwebel","Pilot in the 1./Jagdgeschwader 302","28 October 1944","—","—"
"Curt von Gottberg","Waffen-SS","SS-Gruppenführer and Generalleutnant of the Polizei","Leader of Kampfgruppe \"von Gottberg\"","30 June 1944","—","—"
"Heinrich Gottke","Waffen-SS","SS-Unterscharführer","Vorgeschobener Beobachter (forward observer) in the 3./SS-Flak-Abteilung 17 \"Götz von Berlichingen\"","27 December 1944","—","—"
"Rainer Gottstein","Waffen-SS","SS-Obersturmbannführer","Commander Sipo and SD Budapest and leader of a Kampfgruppe","6 February 1945","—","—"
"Heinz Graber","Luftwaffe","Leutnant","Staffelführer of the 7./Sturzkampfgeschwader 2 \"Immelmann\"","19 June 1942","—","—"
"Siegfried Grabert+","Heer","Oberleutnant of the Reserves","Leader of a special commando in the Bau-Lehr-Bataillon z.b.V. 800 \"Brandenburg\"","10 June 1941","Awarded 320th Oak Leaves 6 November 1943",""
"Walter Grabmann","Luftwaffe","Oberstleutnant","Geschwaderkommodore of Zerstörergeschwader 76","14 September 1940","—","—"
"Josef Grabowski","Heer","Leutnant","Leader of the 4./Panzergrenadier-Regiment 110","18 January 1944","—","—"
"Hans Gradl","Heer","Major","Commander of the I./Panzer-Regiment 39","15 November 1941","—","—"
"Heinz Graeber","Luftwaffe","Oberfeldwebel","Radio operator in the 15./Kampfgeschwader 2","30 September 1943","—","—"
"Viktor-Eberhard Gräbner","Waffen-SS","SS-Hauptsturmführer of the Reserves","Commander of SS-Panzer-Aufklärungs-Abteilung 9 \"Hohenstaufen\"","23 August 1944","—","—"
"Werner Gräbner","Heer","Oberfeldwebel","Platoon leader in the 4./Füsilier-Regiment 22","30 September 1944","—","—"
"Heinz Graebsch","Heer","Hauptmann of the Reserves","Chief of the 14.(Panzerjäger)/Grenadier-Regiment 7","20 July 1944*","Killed in action 14 July 1944","—"
"Hans Graefe","Luftwaffe","Fahnenjunker-Oberfeldwebel","Observer in the 2.(H)/Aufklärungs-Gruppe 6","26 December 1944","—","—"
"Fritz-Hubert Gräser+","Heer","Oberst","Commander of Infanterie-Regiment 29 (motorized)","19 July 1940","Awarded 517th Oak Leaves 26 June 1944
(154th) Swords 8 May 1945?","—"
"Walther Graeßner","Heer","Generalleutnant","Commander of the 298. Infanterie-Division","27 October 1941","—","—"
"Erich Grätz","Waffen-SS","SS-Hauptsturmführer","Chief of the 18.(Panzerjäger)/SS-Panzergrenadier-Regiment 1 \"Leibstandarte SS Adolf Hitler\"","14 May 1944","—","—"
"Alois Graf","Heer","Oberstleutnant","Commander of Grenadier-Regiment 1082","30 April 1945*","Killed in action 8 April 1945","—"
"Hermann Graf+","Luftwaffe","Leutnant of the Reserves","Pilot in the 9./Jagdgeschwader 52","24 January 1942","Awarded 93rd Oak Leaves 17 May 1942
11th Swords 19 May 1942
5th Diamonds 16 September 1942","—"
"Rudolf Graf","Luftwaffe","Oberleutnant","Chief of the 1./Flak-Regiment (motorized) \"General Göring\"","6 October 1941","—","—"
"Karl von Graffen","Heer","Generalmajor","Leader of the 58. Infanterie-Division","13 August 1942","—",""
"Friedrich Grammel","Heer","Leutnant","Leader of the 3./Grenadier-Regiment 544","4 May 1944*","Killed in action 17 February 1944","—"
"Bruno Granitza","Heer","Hauptmann","Chief of the 12./Artillerie-Regiment 329","21 September 1944","—","—"
"Georg Gransee","Heer","Feldwebel","Platoon leader in the 7./Panzer-Regiment 31","19 September 1943","—","—"
"Simon Grascher","Waffen-SS","SS-Unterscharführer","Platoon troop leader in the 9./SS-Panzergrenadier-Regiment 4 \"Der Führer\"","14 August 1943*","Killed in action 14 July 1943","—"
"Martin Grase+","Heer","Oberst","Commander of Infanterie-Regiment 1","18 October 1941","Awarded 248th Oak Leaves 23 May 1943","—"
"Anton Grasel","Heer","Oberwachtmeister","Platoon leader in a leichte Flak-Abteilung (motorized)","24 October 1944*","Killed in action 16 September 1944","—"
"Walter Grasemann","Luftwaffe","Oberleutnant","Staffelkapitän of the 9./Kampfgeschwader 27 \"Boelcke\"","9 October 1943","—","—"
"Fritz Grassau","Heer","Hauptmann","Commander of the II./Infanterie-Regiment 188","16 July 1941","—","—"
"Anton Grasser+","Heer","Oberstleutnant","Commander of Infanterie-Regiment 119","16 June 1940","Awarded 344th Oak Leaves 5 December 1943","—"
"Hartmann Grasser+","Luftwaffe","Oberleutnant","Pilot in the II./Jagdgeschwader 51","4 September 1941","Awarded 288th Oak Leaves 31 August 1943","—"
"Rudolf Grasser","Heer","Feldwebel","Platoon leader in the 8./Grenadier-Regiment 191","29 November 1944","—","—"
"Dietrich Graßmann","Luftwaffe","Oberleutnant","Staffelkapitän of the 1./Kampfgeschwader 4 \"General Wever\"","12 March 1945","—","—"
"Josef Graßmann","Heer","Major","Commander of the II./Grenadier-Regiment 326","9 November 1942","—","—"
"Franz Graßmel+","Luftwaffe","Major","Commander of the III./Fallschirmjäger-Regiment 4","8 April 1944","Awarded (868th) Oak Leaves 8 May 1945?","—"
"Berthold Graßmuck","Luftwaffe","Oberfeldwebel","Pilot in the 2./Jagdgeschwader 52","19 September 1942","—","—"
"Karl Gratz","Luftwaffe","Unteroffizier","Pilot in the 8./Jagdgeschwader 52","1 July 1942","—","—"
"Reinhard Graubner","Luftwaffe","Hauptmann","Gruppenkommandeur of the II./Kampfgeschwader 4 \"General Wever\"","3 September 1943","—","—"
"Ulrich Grauert","Luftwaffe","General der Flieger","Commanding general of the I. Fliegerkorps","29 May 1940","—","—"
"August Grauting","Heer","Feldwebel","Platoon leader in Infanterie-Regiment 16","29 May 1940","—","—"
"Sigmund-Ulrich Freiherr von Gravenreuth+","Luftwaffe","Oberleutnant","Pilot in the 1./Kampfgeschwader 30","24 November 1940","Awarded 692nd Oak Leaves 9 January 1945","—"
"Gerhard Grebarsche","Waffen-SS","SS-Hauptscharführer","Platoon leader in the 3./SS-Panzergrenadier-Regiment 2 \"Leibstandarte SS Adolf Hitler\"","24 January 1944","—","—"
"Franz Greck","Heer","Unteroffizier","Company troop leader in the 4./Panzer-Aufklärungs-Abteilung 8","5 February 1945","—","—"
"Otto Greese","Heer","Obergefreiter","1st machine gunner in the 6./Grenadier-Regiment 487","24 November 1943*","Killed in action 2 November 1943","—"
"Heinz Grehl","Heer","Oberleutnant of the Reserves","Company leader in Festungs-Grenadier-Regiment \"Mohr\" in fortress Breslau","30 April 1945","—","—"
"Hans von Greiffenberg","Heer","Generalmajor","Chief of the general staff of the 12. Armee","18 May 1941","—",""
"Alfred Greim","Heer","Oberstleutnant","Commander of the II./Infanterie-Regiment 1 \"Großdeutschland\"","4 June 1942","—",""
"Robert Ritter von Greim+","Luftwaffe","Generalleutnant","Commanding general of the V. Fliegerkorps","24 June 1940","Awarded 216th Oak Leaves 2 April 1943
92nd Swords 28 August 1944",""
"Andreas Greiner","Heer","Oberjäger","Platoon leader in the 8./Jäger-Regiment 75","6 February 1944","—","—"
"Erwin Greiner","Heer","Major","Leader of Grenadier-Regiment 307","29 November 1944","—","—"
"Heinz Greiner+","Heer","Oberst","Commander of Infanterie-Regiment 499","22 September 1941","Awarded 572nd Oak Leaves 5 September 1944","—"
"Hermann Greiner+","Luftwaffe","Oberleutnant","Staffelkapitän of the 11./Nachtjagdgeschwader 1","27 July 1944","Awarded 840th Oak Leaves 17 April 1945","—"
"Hans Greiter","Heer","Unteroffizier","Messenger squadron leader in the I./Grenadier-Regiment 165","13 January 1945","—","—"
"Gerhard Grenzel","Luftwaffe","Unteroffizier","Pilot in the 2./Sturzkampfgeschwader 1","8 May 1940","—","—"
"Horst Gresiak","Waffen-SS","SS-Obersturmführer","Leader of the 7./SS-Panzer-Regiment 2 \"Das Reich\"","25 January 1945","—","—"
"Josef Gretschmann","Heer","Oberfeldwebel","Platoon leader in the 6./Schützen-Regiment 40","11 August 1941","—","—"
"Carl-Heinz Greve","Luftwaffe","Leutnant","Pilot in the 3./Kampfgruppe 606","7 October 1942","—","—"
"Prof. Dr. med.-dent. Karl Greve","Heer","Hauptmann of the Reserves zur Verwendung (for disposition)","Commander of the I./Jäger-Regiment 49","18 May 1942","—","—"
"Josef Grewe","Luftwaffe","Oberfeldwebel","Pilot in the 9./Schlachtgeschwader 77","20 July 1944","—","—"
"Osmar Griebel","Luftwaffe","Feldwebel","Pilot in the 2./Sturzkampfgeschwader 77","5 December 1943","—","—"
"Willy Grieme","Waffen-SS","SS-Obersturmführer of the Reserves","Leader of the 6./SS-Panzergrenadier-Regiment 4 \"Der Führer\"","17 September 1943","—","—"
"Franz Griesbach+","Heer","Major","Commander of the I./Infanterie-Regiment 391","14 March 1942","Awarded 242nd Oak Leaves 17 May 1943
53rd Swords 6 March 1944","—"
"Bernhard Griese","Waffen-SS","SS-Sturmbannführer and Major of the Schupo","Commander of SS-Polizei-Schützen-Bataillon 323","3 May 1942","—","—"
"Max Grieser","Heer","Leutnant","Leader of the 2./Panzergrenadier-Regiment 114","14 August 1944*","Killed in action 5 August 1944","—"
"Fritz Grieshammer","Luftwaffe","Generalmajor","Commander of the 24. Flak-Division","12 April 1945","—","—"
"Herbert Griesinger","Heer","Oberjäger","Group leader in Jäger-Regiment 56","2 September 1944","—","—"
"Hans-Christoph Grießbauer","Heer","Rittmeister of the Reserves","Chief of the 4./Füsilier-Bataillon 58","14 November 1943","—","—"
"Heinz Grimberg","Heer","Hauptmann","Commander of Panzer-Pionier-Bataillon 19","14 April 1945","—","—"
"Heinz Grimm","Luftwaffe","Leutnant","Pilot in the IV./Nachtjagdgeschwader 1","5 February 1944*","Died of wounds 13 October 1943","—"
"Johannes Grimminger+","Heer","Hauptmann of the Reserves","Leader of Panzergrenadier-Feld-Ersatz-Bataillon 25","23 August 1944","Awarded 776th Oak Leaves 11 March 1945","—"
"Alfred Grislawski+","Luftwaffe","Feldwebel","Pilot in the 9./Jagdgeschwader 52","1 July 1942","Awarded 446th Oak Leaves 11 April 1944","—"
"Werner Grodde","Heer","Hauptmann","Commander of the II./Artillerie-Regiment 13 (L)","6 April 1944","—","—"
"Karl-Albrecht von Groddeck","Heer","Oberst","Commander of Infanterie-Regiment 120 (motorized)","8 September 1941","—","—"
"Manfred Groebe","Heer","Leutnant","Pioneer platoon leader in the Stabskompanie/Grenadier-Regiment 278","17 March 1945","—","—"
"Kurt Gröschke+","Luftwaffe","Major","Commander of the II./Fallschirmjäger-Regiment 1","9 June 1944","Awarded 693rd Oak Leaves 9 January 1945",""
"Ludwig Grözinger","Luftwaffe","Hauptmann","Staffelkapitän of the 3./Kampfgeschwader 53 \"Legion Condor\"","25 November 1942","—","—"
"Walter Grohe","Heer","Hauptmann of the Reserves","Leader of the I./Panzer-Regiment 35","22 October 1944","—","—"
"Franz Grohmann","Waffen-SS","SS-Obersturmführer","Chief of the 1./SS-Panzergrenadier-Regiment 3 \"Deutschland\"","23 August 1944","—","—"
"Helmut Grollmus","Luftwaffe","Leutnant","Pilot in the II./Jagdgeschwader 54","6 October 1944*","Killed in action 19 June 1944","—"
"Gustav Gromeike","Heer","Obergefreiter","In the 2./Pionier-Bataillon 1","19 June 1942","—","—"
"Fritz Gromotka","Luftwaffe","Leutnant","Staffelkapitän of the 9./Jagdgeschwader 27","28 January 1945","—","—"
"Josef Grons","Luftwaffe","Major","Gruppenkommandeur of the I./Transportgeschwader 2","20 April 1944","—","—"
"Heinz Gropp?","Waffen-SS","SS-Obersturmführer of the Reserves","Leader of the 2./SS-Flak-Abteilung 9 \"Hohenstaufen\"","6 May 1945","—","—
—"
"Karl Gros","Heer","Oberfeldwebel","Platoon leader in the 1./Panzer-Regiment 2","14 December 1943","—","—"
"Erhard Grosan?","Heer","Oberst","Commander of Kampfgruppe \"Grosan\" and tactics teacher at the Panzer-Truppenschule Bergen","9 May 1945","—","—"
"Johann Groscheck","Heer","Oberfeldwebel","Leader of rider platoon in the Stabskompanie/Grenadier-Regiment 422","21 January 1945","—","—"
"Alfred Groß?","Luftwaffe","Leutnant","Staffelführer of the 5./Jagdgeschwader 26 \"Schlageter\"","20 April 1945","—","—"
"Helmut Groß","Heer","Major","Commander of Divisions-Füsilier-Bataillon 129","31 August 1943","—","—"
"Martin Groß","Waffen-SS","SS-Sturmbannführer","Commander of the II./SS-Panzer-Regiment 1 \"Leibstandarte SS Adolf Hitler\"","22 July 1943","—",""
"Gert Grosse","Heer","Major","Commander of the II./Grenadier-Regiment 529","3 January 1944","—","—"
"Hans Grossendorfer","Luftwaffe","Oberleutnant","Observer in the 7./Kampfgeschwader 53 \"Legion Condor\"","26 March 1944*","Killed on active service 20 November 1943","—"
"Georg Großjohann","Heer","Major","Leader of Grenadier-Regiment 308","26 December 1944","—","—"
"Friedrich-Karl Großkreutz","Heer","Major","Commander of Sturmgeschütz-Abteilung 244","22 November 1943","—","—"
"Horst Großmann+","Heer","Oberst","Commander of Infanterie-Regiment 84","23 August 1941","Awarded 292nd Oak Leaves 4 September 1943","—"
"Hugo Großmann","Heer","Feldwebel","Deputy leader of the 3./Grenadier-Regiment 252","26 March 1944*","Died of wounds 29 January 1944","—"
"Alfred Großrock","Waffen-SS","SS-Untersturmführer","Platoon leader in the 6./SS-Panzer-Regiment 5 \"Wiking\"","12 August 1944","—","—"
"Ernst-Albert Grote","Heer","Major","Leader of Grenadier-Regiment 12","11 March 1945","—","—"
"Horst Freiherr Grote","Luftwaffe","Oberleutnant","Staffelkapitän of the 4.(S)/Lehrgeschwader 2","21 July 1940","—","—"
"Erich Groth","Luftwaffe","Hauptmann","Gruppenkommandeur of the II./Zerstörergeschwader 76","1 October 1940","—","—"
"Heinz Groth?","Heer","Major of the Reserves","Division adjutant of the 1. Volks-Gebirgs-Division and leader of Gebirgsjäger-Regiment 99","9 May 1945","—","—"
"Hermann Grothaus","Heer","Oberleutnant","Chief of the 11./Artillerie-Regiment 389","10 September 1944","—","—"
"Siegfried Grotheer","Heer","Oberstleutnant","Commander of Grenadier-Regiment 464","6 November 1943","—","—"
"Helmut Gruber","Heer","Oberleutnant of the Reserves","Adjutant in the II./Panzergrenadier-Regiment 125","15 January 1943","—","—"
"Rupert Gruber","Heer","Major","Commander of Sturmgeschütz-Abteilung 209","14 August 1943","—",""
"Adolf Grubinger","Heer","Oberjäger","Machine gun leader in the 9./Jäger-Regiment 227","28 February 1945","—","—"
"Peter Grübl","Heer","Obergefreiter","Group leader in the 11./Gebirgsjäger-Regiment 98","20 December 1941","—","—"
"Werner Grün","Heer","Hauptmann","Leader of the I./Panzer-Regiment 5","8 February 1943","—","—"
"Hans Grünberg","Luftwaffe","Leutnant","Pilot in the 5./Jagdgeschwader 3 \"Udet\"","9 June 1944","—","—"
"Georg Grüner+","Heer","Oberleutnant","Chief of the 1./Panzer-Regiment 33 \"Prinz Eugen\"","25 November 1941","Awarded 436th Oak Leaves 26 March 1944",""
"Anton Grünert","Heer","Oberleutnant of the Reserves","Chief of the 3./Sturmgeschütz-Abteilung 201","15 March 1943","—","—"
"Richard Grünert+","Heer","Oberleutnant of the Reserves","Leader of the 3./Kradschützen-Bataillon 7","14 October 1941","Awarded 244th Oak Leaves 17 May 1943","—"
"Georg Grünewald","Luftwaffe","Oberfeldwebel","Platoon leader in the 1./Fallschirmjäger-Sturmgeschütz-Brigade 12","29 October 1944","—","—"
"Rudolf Grünner","Waffen-SS","SS-Unterscharführer","Group leader in Regiment \"Mohr\" in the fortress Breslau","10 March 1945","—","—"
"Harry Grünwald","Heer","Oberleutnant","Chief of the 2./Artillerie-Regiment 18 (motorized)","6 February 1944","—","—"
"Wilhelm Grünwaldt","Heer","Hauptmann of the Reserves","Commander of the I./Panzergrenadier-Regiment 126","17 September 1944","—","—"
"Herbert Gruhl","Heer","Hauptmann","Chief of the 11./Grenadier-Regiment 133","5 April 1944","—","—"
"Otto Grumbt","Heer","Hauptmann","Commander of the II./Panzergrenadier-Regiment 111","28 October 1944","—","—"
"Ernst Grunau","Heer","Oberleutnant","Leader of the Begleitkompanie of the 14. Panzer-Division","4 October 1944","—","—"
"Julius Grund","Heer","Hauptmann","Commander of the I./Gebirgsjäger-Regiment 138","30 October 1943","—","—"
"Erich Grundmann","Kriegsmarine","Kapitänleutnant (Ing.)","Fleet engineer in the 1. Räumbootflottille","31 May 1940","—",""
"Wilhelm Grunge","Heer","Obergefreiter","Group leader in the 4./Panzergrenadier-Regiment 93","3 July 1944","—","—"
"Werner Grunhold","Luftwaffe","Unteroffizier","Company troop leader in the 3./Fallschirm-Panzergrenadier-Regiment 2 \"Hermann Göring\"","30 November 1944","—","—"
"Horst Grunwald","Heer","Feldwebel","Platoon leader in the 4./Grenadier-Regiment 457","14 May 1944","—","—"
"Karl-Georg Gschwendtner","Luftwaffe","Oberfeldwebel","Pilot in the 7./Sturzkampfgeschwader 77","5 February 1944","—","—"
"Karl-Heinrich Gsell","Heer","Leutnant of the Reserves","Leader of the 2./Panzer-Regiment 35","23 February 1944","—","—"
"Josef Gsinn","Heer","Oberfeldwebel","Platoon leader in the 4./Hochgebirgsjäger-Bataillon 3","20 July 1944","—","—"
"Rudolf Guckenberger","Heer","Hauptmann","Commander of the II./Infanterie-Regiment 481","20 August 1942","—","—"
"Alfred Gudelius","Heer","Major","Commander of the II./Schützen-Regiment 14","10 February 1942","—","—"
"Heinz Guderian+","Heer","General der Panzertruppe","Commanding general of the XIX. Armeekorps","27 October 1939","Awarded 24th Oak Leaves 17 July 1941",""
"Heinz-Günther Guderian","Heer","Major im Generalstab (in the General Staff)","Ia (operations officer) of the 116. Panzer-Division","5 October 1944","—","—"
"Karl Gümbel","Heer","Oberst","Commander of Infanterie-Regiment 516","30 October 1941","—","—"
"Ludwig Gümbel","Heer","Oberst","Leader of Divisions-Gruppe \"Gümbel\" (Grenadier-Regiment 308)","29 November 1944","—","—"
"Wilhelm Günter","Heer","Feldwebel","Platoon leader in the 13.(IG)/Grenadier-Regiment 508","5 March 1945","—","—"
"Alfred Günther","Waffen-SS","SS-Oberscharführer","Platoon leader in the 1./SS-Sturmgeschütz-Abteilung 1 \"Leibstandarte SS Adolf Hitler\"","3 March 1943","—",""
"Heinrich-Albert Günther","Luftwaffe","Hauptmann","Staffelkapitän of the 7./Kampfgeschwader 27 \"Boelcke\"","9 June 1944*","Killed in action 10 January 1944","—"
"Paul Günther","Luftwaffe","Fahnenjunker-Feldwebel","Pilot in the 9./Schlachtgeschwader 10","2 February 1945","—","—"
"Wilhelm Günther","Heer","Feldwebel","Platoon leader in the 8./Panzer-Regiment 2","18 December 1942","—","—"
"Reinhard Günzel+","Luftwaffe","Hauptmann","Gruppenkommandeur of the II./Kampfgeschwader 27 \"Boelcke\"","17 September 1941","Awarded 184th Oak Leaves 21 January 1943","—"
"Ernst Gürke","Luftwaffe","Major","Commander of the I./Flak-Regiment 43","3 November 1942","—","—"
"Martin Gürz","Waffen-SS","SS-Hauptsturmführer","Leader of the III./SS-Freiwilligen-Panzergrenadier-Regiment 23 \"Norge\"","23 October 1944*","Killed in action 26 September 1944","—"
"Hans Gütschow","Heer","Leutnant of the Reserves","Company leader in the I./Infanterie-Regiment 545","25 October 1942","—","—"
"Alois Gugganig","Heer","Feldwebel","Platoon leader in the 12./Gebirgsjäger-Regiment 91","3 April 1943","—","—"
"Friedrich Guggenberger+","Kriegsmarine","Kapitänleutnant","Commander of U-81","10 December 1941","Awarded 171st Oak Leaves 8 January 1943",""
"Paul Guhl","Waffen-SS","SS-Hauptsturmführer","Leader of the III.(gepanzert)/SS-Panzergrenadier-Regiment 2 \"Leibstandarte SS Adolf Hitler\"","4 June 1944","—","—"
"Hans Guhr","Heer","Oberleutnant","Regiments adjutant in Infanterie-Regiment 513","10 September 1942","—","—"
"Heinz Guhrke","Kriegsmarine","Oberleutnant zur See of the Reserves","Commander of Torpedoboot TA-20","5 November 1944*","Killed in action 31 October 1944","—"
"Günther Gumprich","Kriegsmarine","Kapitän zur See","Commander of auxiliary cruiser \"Thor\" (HSK-4)","31 December 1942","—","—"
"Ulrich Gunzert","Heer","Oberleutnant","Chief of the 3./Pionier-Bataillon 258","20 December 1941","—","—"
"Paul Gurran","Heer","Oberst","Commander of Infanterie-Regiment 506","12 September 1941","—","—"
"Ernst Guschker","Heer","Hauptmann","Leader of the II./Grenadier-Regiment 587","3 August 1943*","Died of wounds 13 February 1943","—"
"Werner Gust+","Heer","Hauptmann","Commander of the III./Grenadier-Regiment 477","7 February 1944","Awarded 624th Oak Leaves 18 October 1944","—"
"Helmut Gutheit","Heer","Leutnant of the Reserves","Leader of Jagdpanzer-Kompanie 1011","17 April 1945","—","—"
"[Dr.] Gerhard Gutmacher","Heer","Hauptmann","Leader of the I./Grenadier-Regiment 178","14 January 1945","—","—"
"Heinz Gutmann","Luftwaffe","Oberleutnant","Staffelführer of the 3./Kampfgeschwader 53 \"Legion Condor\"","5 April 1944","—","—"
"Joachim Gutmann","Heer","Oberstleutnant","Leader of Panzergrenadier-Regiment 11","18 September 1942","—","—"
"Erwin Gutzmann","Luftwaffe","Feldwebel","Pilot in the II./Schlachtgeschwader 2 \"Immelmann\"","26 March 1944","—","—"
"[Dr.] Hans Gutzmer","Luftwaffe","Hauptmann","Staffelkapitän of the 3./Kampfgeschwader 51","29 February 1944","—","—"
"Helmut Gutzschhahn","Heer","Hauptmann","Commander of the I./Panzergrenadier-Regiment 6","8 May 1943","—","—"
"August Györy","Luftwaffe","Oberleutnant","Pilot in the 4.(F)/Aufklärungs-Gruppe 122","26 March 1944","—","—"
"Robert Gysae+","Kriegsmarine","Kapitänleutnant","Commander of U-98","31 December 1941","Awarded 250th Oak Leaves 31 May 1943","—"
