| Rnd. | Pick # | NFL team             | Player                                  | Pos.                                    | College                                 | Conf.                                   | Notes                                        |
| 7    | 237    | New England Patriots | Antwoine Womack                         | RB                                      | Virginia                                | ACC                                     | from Miami via Dallas                        |
| 7    | 238    | Philadelphia Eagles  | Raheem Brock                            | DE                                      | Temple                                  | Big East                                |                                              |
| 7    | 239    | San Francisco 49ers  | Eric Heitmann                           | C                                       | Stanford                                | Pac-10                                  |                                              |
| 7    | 240    | Tennessee Titans     | Carlos Hall                             | DE                                      | Arkansas                                | SEC                                     | from Green Bay                               |
| 7    | 241    | Miami Dolphins       | Leonard Henry                           | RB                                      | East Carolina                           | C-USA                                   | from Chicago                                 |
| 7    | 242    | Pittsburgh Steelers  | Brett Keisel†                           | DE                                      | BYU                                     | MWC                                     |                                              |
| 7    | 243    | St. Louis Rams       | Chris Massey                            | FB                                      | Marshall                                | MAC                                     |                                              |
| 7    | 244    | Atlanta Falcons      | Kevin Shaffer                           | OT                                      | Tulsa                                   | WAC                                     |                                              |
| 7*   | 245    | New York Giants      | Quincy Monk                             | LB                                      | North Carolina                          | ACC                                     |                                              |
| 7*   | 246    | Jacksonville Jaguars | Steve Smith                             | DB                                      | Oregon                                  | Pac-10                                  |                                              |
| 7*   | 247    | Jacksonville Jaguars | Hayden Epstein                          | K                                       | Michigan                                | Big Ten                                 |                                              |
| 7*   | 248    | San Francisco 49ers  | Kyle Kosier                             | OT                                      | Arizona State                           | Pac-10                                  |                                              |
| 7*   | 249    | Buffalo Bills        | Rodney Wright                           | WR                                      | Fresno State                            | WAC                                     |                                              |
| 7*   | 250    | Tampa Bay Buccaneers | Tracey Wistrom                          | TE                                      | Nebraska                                | Big 12                                  |                                              |
| 7*   | 251    | Buffalo Bills        | Jarrett Ferguson                        | RB                                      | Virginia Tech                           | Big East                                |                                              |
| 7*   | 252    | Detroit Lions        | Matt Murphy                             | TE                                      | Maryland                                | ACC                                     |                                              |
| 7*   | 253    | New England Patriots | David Givens                            | WR                                      | Notre Dame                              | Ind.                                    |                                              |
| 7*   | 254    | Tampa Bay Buccaneers | Aaron Lockett                           | WR                                      | Kansas State                            | Big 12                                  |                                              |
| 7*   | 255    | Tampa Bay Buccaneers | Zack Quaccia                            | C                                       | Stanford                                | Pac-10                                  |                                              |
| 7*   | 256    | San Francisco 49ers  | Teddy Gaines                            | DB                                      | Tennessee                               | SEC                                     |                                              |
| 7*   | 257    | Washington Redskins  | Rock Cartwright                         | RB                                      | Kansas State                            | Big 12                                  |                                              |
| 7^   | 258    | Carolina Panthers    | Brad Franklin                           | CB                                      | Louisiana–Lafayette                     | Sun Belt                                |                                              |
| 7^   | 259    | Detroit Lions        | Victor Rogers                           | OT                                      | Colorado                                | Big 12                                  |                                              |
| 7^   | 260    | Buffalo Bills        | Dominique Stevenson                     | LB                                      | Tennessee                               | SEC                                     |                                              |
| 7¤   | 261    | Houston Texans       | Ahmad Miller                            | DT                                      | UNLV                                    | MWC                                     |                                              |
