Name	Type	Circle	Bench	Formed	Notes
Solms-Lich	County	Upp Rhen	WT	1409	Partitioned from Solms-Braunfels\n1544: Partitioned into itself and Solms-Laubach\nPartitioned into itself and Solms-Hohensolms\n1718: United to form Solms-Hohensolms-Lich
Solms-Ottenstein	County	n/a	n/a	1325	Partitioned from Solms-Braunfels\n1424: Annexed to Solms-Braunfels
Solms-Rödelheim	County	Upp Rhen	WT	1607: Partitioned from Solms-Laubach\n1699, 1728: Partitioned from Solms-Rödelheim-Assenheim	1635, 1722, 1778: Annexed to Solms-Rödelheim-Assenheim
Solms-Rödelheim-Assenheim	County	Upp Rhen	WT	1635, 1722, 1778: Created from a union of Solms-Assenheim and Solms-Rödelheim	1699, 1728: Partitioned back into Solms-Assenheim and Solms-Rödelheim
Solms-Rösa	County	Upp Rhen	n/a	1711	Partitioned from Solms-Alt-Puch
Solms-Sachsenfeld	County	Upp Rhen	n/a	1741	Partitioned from Solms-Wildenfels
Solms-Sonnenwalde	County	Upp Rhen	n/a	1561	Partitioned from Solms-Laubach\n1615: Annexed to Solms-Laubach\n1627: Partitioned from Solms-Laubach\n1688:Partitioned into itself and Solms-Alt-Puch\n1803: Annexed to Solms-Rösa
Solms-Utphe	County	Upp Rhen	n/a	1696	Partitioned from Solms-Baruth\n1762: Extinct
Solms-Wildenfels	County	Upp Rhen	n/a	1696	Partitioned from Solms-Baruth\n1741: Partitioned into itself and Solms-Sachsenfeld
Solothurn	1218: Imperial Free City			1218	1355: Associate member of Swiss Confedearation; annexed to Bern\n1481: Full member of Swiss Confederation\n1648: Left the Empire
Sonnenberg	1463: HRE County				1474: Purchased by Austria
Speyer	Bishopric	Upp Rhen	EC	888	1793: Council of Princes\n1803: Annexed to Baden
Speyer	Imperial City	Upp Rhen	RH	1294	1792: Annexed to France\n1816: Annexed to Bavaria
Spoleto	Duchy in Italy			6th century	1201: To Papal States
Sponheim	HRE County			9th/10th Century	1227: Partitioned into Sponheim-Eberstein, Sponheim-Heinsberg, Sponheim-Kreuznach and Sponheim-Starkenburg
Sponheim-Bolanden	County			1314	Partitioned from Sponheim-Kreuznach\n1393: Annexed to Nassau-Dillenburg
Sponheim-Kastellaun	County			1291	Partitioned from Sponheim-Kreuznach\n1340: Re-annexed to Sponheim-Kreuznach
Sponheim-Eberstein	County			1227	Partitioned from Sponheim\n1263: Divided between Sponheim-Kreuznach and Sponheim-Starkenburg
Sponheim-Heinsberg	County			1227	Partitioned from Sponheim\n1258: Annexed to Sponheim-Eberstein
Sponheim-Kreuznach	County			1227	Partitioned from Sponheim\nPartitioned several times\n1416: Divided between Baden and the Electorate of the Palatinate\n1707: All to Palatinate
Sponheim-Sayn	County			1261	Partitioned from Sponheim-Eberstein\n1283: Partitioned into Sayn and Sayn-Homburg
Sponheim-Starkenburg	County			1227	Partitioned from Sponheim\n1444: Divided between Baden and the Electorate of the Palatinate\n1776: All to Palatinate
Stadion\nHRE Count of Stadion-Stadion & Thannhausen	1200s: Local Lordship\n1686: HRE Barony\n1705: HRE County			12th/13th Century	1100s: Family 1st mentioned\n1392: Division of Stadion family into the Swabian and Alsatian lines\nAcquired Thannhausen\nAcquired Lordship of Waldhausen\n1700: Stadion lines reunited\n1708: Division into Stadion-Warthausen (extinct 1890) and Stadion-Thannhausen (extinct 1908)\n1741: Partitioned into Stadion-Thannhausen and Stadion-Warthausen\nInherited by Counts of Schonborn-Buchheim
Stadion-Thannhausen\nCount of Stadion-Stadion-Thannhausen	1705: HRE County			1741	Partitioned from Stadion\n1806: Mediatised to Bavaria
Stadion-Warthausen\nStadion-Waldhausen\nCounts of Stadion-Waldhausen and Thannhausen	1705: HRE County			1741	Partitioned from Stadion\n1806: Mediatised to Austria and Wurttemberg
Stargard	Duchy				1130: To Dukes of Pomerania\n1236: To Margraves of Brandenburg\n1292: To Princes of Mecklenburg\n1352-1471: To Mecklenburg-Stargard\n1348: HRE Estate
Starhemberg	1679: HRE Count (Personalist)\n1765: HRE Prince (Personalist)	n/a	FR	1679	1100s: Family 1st mentioned
Starhemberg-Schaumburg-Wachsenberg\nPrince of Starhemberg, Count of Schaumburg-Wachsenberg, etc.	1705: HRE Prince				Acquired County of Schaumburg-Wachsenberg
Starkenburg	HRE Lordship				1237: To Sponheim
Starkenstein	Lordship				
Stauf Ehrenfels	HRE Lordship\nHRE Couty				
Staufenberg	Lordship				
Staufeneck	Lordship			1432: Partitioned from Staufeneck-Babenhausen	1599: Annexed to Donzdorf
Staufeneck-Babenhausen	Lordship			1351: Partitioned from Aichen	1432: Partitioned into Babenhausen-Mindelheim-Cellmünz and Staufeneck
Stauffen	Lordship	Swab			
Stavelot (Stablo)	RA	Low Rhen			650: The double monastery, Stablo-Malmedy, was built\n1793: Council of Princes
Stein	County\n1194: Rhinegraviate			1072	1268: Annexed to Rhine
Stein am Rhein	HRE Abbey				
Stein zu Nassau	HRE Lordship				
Steinfurt	c1129: Lordship\n1495: HRE County	Low Rhen		c1129	1421: Annexed to Bentheim-Bentheim\n1806: To Grand Duchy of Berg\n1810: To France\n1815: To Prussia
Sternberg-Manderscheid	County (personalist)	n/a	WF		
Sternberg and Pyrmont	County			1536: Partitioned from Lippe	1583: Partitioned into Lippe-Detmold and Pyrmont
Sternberg-Schwalenberg	County			1627: Partitioned from Lippe-Detmold	1736: Partitioned into Lippe-Biesterfeld and Lippe-Weissenfeld
Sternstein\nHRE Prince of Lobkowitz, Duke in Silesia at Sagan, Princely Count of Sternstein, Lord of Raudnitz	1641: HRE Princely County	Bav			1500: Bavarian Circle\nTo Lobkowitz
Stetten	Lordship				
Stettenfels	Lordship				
Stettin	Duchy				
Stolberg\nCount of Stolberg, Königstein, Rochefort, Wernigerode and Hohenstein, Lord of Eppstein/Epstein, Munzenberg, Breuberg, Agimont, Lohra & Klettenberg	County	Upp Sax		1210	1231: Partitioned into Stolberg-Bockstädt and Stolberg-Stolberg\n1429: Acquired County of Wernigerode\n1538: Division into Count of Stolberg-Stolberg, Count of Stolberg-Königstein, Count of Stolberg-Rochefort, Count of Stolberg-Wernigerode, Count of Stolberg-Schwarza\n1738: Under partial overlordship of the Electorate of Saxony
Stolberg-Bockstädt	County			1231: Partitioned from Stolberg	1346: Annexed to Stolberg-Stolberg
Stolberg-Gedern	1710: County\n1742: Principality			1710: Partitioned from Stolberg-Wernigerode	1804: Re-annexed to Stolberg-Wernigerode
Stolberg-Hohenstein	1571: County			1571: Partitioned from Stolberg-Stolberg	1615: Reunited with Stolberg-Stolberg
Stolberg-Islenburg	County			1672: Partitioned from Stolberg-Wernigerode	1710: Re-annexed to Stolberg-Wernigerode
Stolberg-Königstein	1538-1581: County			1538: Partitioned from Stolberg-Stolberg	1581: Line extinct; annexed back to Stolberg-Stolberg
Stolberg-Ortenberg	County			1572: Partitioned from Stolberg-Wernigerode	1641: Divided between Stolberg-Stolberg and Stolberg-Wernigerode
Stolberg-Ortenberg	County			1572: Partitioned from Stolberg-Wernigerode\n1669: Partitioned from Stolberg-Stolberg	1641: Division into Stolberg-Wernigerode and Stolberg-Stolberg\n1684: To Stolerg-Stolberg\n1704: Partitioned into Stolberg-Rossla and Stolberg-Stolberg
Stolberg-Rochefort	1538-1574: County			1538: Partitioned from Stolberg-Stolberg	1574: Line extinct; annexed to Löwenstein-Wertheim
Stolberg-Rossla	1704: County of Stolberg-Rossla\n1893: Prince of Stolberg-Rossla			1704: Partitioned from Stolberg-Ortenberg\n1730-1738: Under partial overlordshi of Saxony\n1803: To Kingdom of Saxony\n1815: To Prussia	
Stolberg-Schwarza	1538: County			1538: Partitioned from Stolberg-Stolberg\n?1677: Partitioned from Stolberg-Wernigerode	1638: Annexed to Stolberg-Wernigerode\n1748: Annexed to Stolberg-Wernigerode
Stolberg-Stolberg	1538: County\n1893: Prince of Stolberg-Stolberg			1231: Partitioned from Stolberg	Partitioned several times\n1631: Annexed to Stolberg-Wernigerode\n1638: Recreated on partition\n1684: Annexed to Stolberg-Ortenburg\n1704: Recreated on partition\n1730-1738: Under partial overlordshi of Saxony
Stolberg-Wernigerode	1538: County of Stolberg-Wernigerode			1538: Partitioned from Stolberg-Stolberg	1714: Under partial overlordship of Prussia\nPartitioned several times, although countship continued.
Storkow	Lordship				1518: To Lebus Abbey\n1556: Margrave of Brandenburg-Kustrin\n1575: To Elector of Brandenburg
Strasbourg	Bishopric	Upp Rhen	EC	982\nAutonomous from 775	1681: Annexed to France\n1793: Council of Princes
Strasbourg (Strassburg)	1262: Imperial City	Upp Rhen			1681: Annexed to France
Stühlingen (Stuhlingen)	Landgraviate	Swab		1582: Partitioned from Pappenheim	1084: 1st mention of "comes de Stulingen"\n1120: Rudolf of Lenzburg as 1st Landgrave of Stuhlingen (extinct 1172)\n1172: To Lords of Kussenberg (extinct 1250)\n1251: To Counts of Lupfen through female inheritance\n1251: Counts of Lupfen and Stuhlingen (extinct 1582)\n1582: Lords of Pappenheim (extinct 1639) purchased Stuhlingen from Emperor for 80,000 guldens\n1603: Pappenheims took possession of Stuhlingen after settling inheritance issues\n1605: Acquired Lordship of Hewen\n1639: Stuhlingen, Hewen and city of Engen to Fürstenberg by female inheritance\n1806: To Grand Duchy of Baden
Styria (Steiermark)	c. 970: Margraviate\n1180: Duchy	Aust	PR		till 1180 "Carantanian March" and six counties as fief of the Duchy of Carinthia; 1180: Duchy; 1192: Inherited by the Babenbergs, Dukes of Austria\n1254: Under control of Hungary\n1260: Under control of Ottokar II. of Bohemia\n1276: Became a Habsburg possession\n1379-1436 and 1564-1619: Separate Habsburg line ruled in Styria\n1512: Austrian Circle\n1582: HRE Council of Princes
Sulz	1139: Lordship\nCounty			1071	1252: Acquired by Lords of Geroldseck\n1270-1472: To Lords of Geroldseck\nRudolf of Sulz acquired Lordships of Rotenberg and Kriechingen and County of Klettgau\n1473: Acquired by Wurttemberg\n1510: Last Baron of Brandis sold Vaduz and Schellenberg to Counts of Sulz\n1519-1534: Sulz belonged to Lords of Geroldseck\n1534: To Wurttemberg\n1572: Partitioned into Klettgau and Sulz-Vaduz\n1613: Counts of Sulz sold Vaduz and Schellenberg to the Counts of Hohenems
Sulz-Vaduz	County			1572: Partitioned from Sulz	1616: Annexed to Weingarten
Sulzbach (Taunus)	HRE Village				
Sulzbürg	Lordship\n1522: Barony\n1673: County			1322: Partitioned from Wolfstein	1500: Bavarian Circle\n1740: Annexed to Bavaria
Sundgau\n-See under Upper Alsace	c900's: County\nLandgraviate				900: 1st mention of County of Sundgau\n1135: Landgraviate of Sundgau to Habsburgs\n1648: Sold to France
Swabia	Duchy			c911: From the former Stem Duchy of Alemannia	1079-1268: To Hohenstaufens\n1268: Discontinued\n1289-1313: Reestablished for the House of Habsburg
Swabia	Landvogtei				
Swabian Austria	Landgraviate				Consisted of the Danube cities of Mengen, Munderkingen, Riedlingen, Saulgau and Waldsee (acquired between 1282 and 1331), the Margraviate of Burgau (1302 - 1304), the County of Berg with Ehingen and Schelklingen (1346), the County of Hohenburg with Rottenburg (1381), the County of Nellenburg (1465) and the provincial Prefecture of Swabia (1386 - 1541), Vorarlberg (14th century), the Breisgau (1478) with Freiburg (1368; seat of government since 1651), the provincial Prefecture of Ortenau (1551 - 1556) and the County of Tettnang (1780).\n1512: Austrian Circle
