"Name","Type","Circle","Bench","Formed","Notes"
"Solms-Kurwitz","County","Upp Rhen","n/a","1711","Partitioned from Solms-Alt-Puch
1747: Partitioned into itself and Solms-Kotiz"
"Solms-Laubach","County","Upp Rhen","WT","1544","Partitioned from Solms-Lich
1561: Partitioned into itself and Solms-Sonnenwalde
1607: Partitioned into itself, Solms-Baruth and Solms-Rödelheim
1627: Partitioned into itself and Solms-Sonnenwalde
1676: Annexed to Solms-Baruth
1696: Partitioned from Solms-Baruth"
"Solms-Lich","County","Upp Rhen","WT","1409","Partitioned from Solms-Braunfels
1544: Partitioned into itself and Solms-Laubach
Partitioned into itself and Solms-Hohensolms
1718: United to form Solms-Hohensolms-Lich"
"Solms-Ottenstein","County","n/a","n/a","1325","Partitioned from Solms-Braunfels
1424: Annexed to Solms-Braunfels"
"Solms-Rödelheim","County","Upp Rhen","WT","1607: Partitioned from Solms-Laubach
1699, 1728: Partitioned from Solms-Rödelheim-Assenheim","1635, 1722, 1778: Annexed to Solms-Rödelheim-Assenheim"
"Solms-Rödelheim-Assenheim","County","Upp Rhen","WT","1635, 1722, 1778: Created from a union of Solms-Assenheim and Solms-Rödelheim","1699, 1728: Partitioned back into Solms-Assenheim and Solms-Rödelheim"
"Solms-Rösa","County","Upp Rhen","n/a","1711","Partitioned from Solms-Alt-Puch"
"Solms-Sachsenfeld","County","Upp Rhen","n/a","1741","Partitioned from Solms-Wildenfels"
"Solms-Sonnenwalde","County","Upp Rhen","n/a","1561","Partitioned from Solms-Laubach
1615: Annexed to Solms-Laubach
1627: Partitioned from Solms-Laubach
1688:Partitioned into itself and Solms-Alt-Puch
1803: Annexed to Solms-Rösa"
"Solms-Utphe","County","Upp Rhen","n/a","1696","Partitioned from Solms-Baruth
1762: Extinct"
"Solms-Wildenfels","County","Upp Rhen","n/a","1696","Partitioned from Solms-Baruth
1741: Partitioned into itself and Solms-Sachsenfeld"
"Solothurn","1218: Imperial Free City","","","1218","1355: Associate member of Swiss Confedearation; annexed to Bern
1481: Full member of Swiss Confederation
1648: Left the Empire"
"Sonnenberg","1463: HRE County","","","","1474: Purchased by Austria"
"Speyer","Bishopric","Upp Rhen","EC","888","1793: Council of Princes
1803: Annexed to Baden"
"Speyer","Imperial City","Upp Rhen","RH","1294","1792: Annexed to France
1816: Annexed to Bavaria"
"Spoleto","Duchy in Italy","","","6th century","1201: To Papal States"
"Sponheim","HRE County","","","9th/10th Century","1227: Partitioned into Sponheim-Eberstein, Sponheim-Heinsberg, Sponheim-Kreuznach and Sponheim-Starkenburg"
"Sponheim-Bolanden","County","","","1314","Partitioned from Sponheim-Kreuznach
1393: Annexed to Nassau-Dillenburg"
"Sponheim-Kastellaun","County","","","1291","Partitioned from Sponheim-Kreuznach
1340: Re-annexed to Sponheim-Kreuznach"
"Sponheim-Eberstein","County","","","1227","Partitioned from Sponheim
1263: Divided between Sponheim-Kreuznach and Sponheim-Starkenburg"
"Sponheim-Heinsberg","County","","","1227","Partitioned from Sponheim
1258: Annexed to Sponheim-Eberstein"
"Sponheim-Kreuznach","County","","","1227","Partitioned from Sponheim
Partitioned several times
1416: Divided between Baden and the Electorate of the Palatinate
1707: All to Palatinate"
"Sponheim-Sayn","County","","","1261","Partitioned from Sponheim-Eberstein
1283: Partitioned into Sayn and Sayn-Homburg"
"Sponheim-Starkenburg","County","","","1227","Partitioned from Sponheim
1444: Divided between Baden and the Electorate of the Palatinate
1776: All to Palatinate"
"Stadion
HRE Count of Stadion-Stadion & Thannhausen","1200s: Local Lordship
1686: HRE Barony
1705: HRE County","","","12th/13th Century","1100s: Family 1st mentioned
1392: Division of Stadion family into the Swabian and Alsatian lines
Acquired Thannhausen
Acquired Lordship of Waldhausen
1700: Stadion lines reunited
1708: Division into Stadion-Warthausen (extinct 1890) and Stadion-Thannhausen (extinct 1908)
1741: Partitioned into Stadion-Thannhausen and Stadion-Warthausen
Inherited by Counts of Schonborn-Buchheim"
"Stadion-Thannhausen
Count of Stadion-Stadion-Thannhausen","1705: HRE County","","","1741","Partitioned from Stadion
1806: Mediatised to Bavaria"
"Stadion-Warthausen
Stadion-Waldhausen
Counts of Stadion-Waldhausen and Thannhausen","1705: HRE County","","","1741","Partitioned from Stadion
1806: Mediatised to Austria and Wurttemberg"
"Stargard","Duchy","","","","1130: To Dukes of Pomerania
1236: To Margraves of Brandenburg
1292: To Princes of Mecklenburg
1352-1471: To Mecklenburg-Stargard
1348: HRE Estate"
"Starhemberg","1679: HRE Count (Personalist)
1765: HRE Prince (Personalist)","n/a","FR","1679","1100s: Family 1st mentioned"
"Starhemberg-Schaumburg-Wachsenberg
Prince of Starhemberg, Count of Schaumburg-Wachsenberg, etc.","1705: HRE Prince","","","","Acquired County of Schaumburg-Wachsenberg"
"Starkenburg","HRE Lordship","","","","1237: To Sponheim"
"Starkenstein","Lordship","","","",""
"Stauf Ehrenfels","HRE Lordship
HRE Couty","","","",""
"Staufenberg","Lordship","","","",""
"Staufeneck","Lordship","","","1432: Partitioned from Staufeneck-Babenhausen","1599: Annexed to Donzdorf"
"Staufeneck-Babenhausen","Lordship","","","1351: Partitioned from Aichen","1432: Partitioned into Babenhausen-Mindelheim-Cellmünz and Staufeneck"
"Stauffen","Lordship","Swab","","",""
"Stavelot (Stablo)","RA","Low Rhen","","","650: The double monastery, Stablo-Malmedy, was built
1793: Council of Princes"
"Stein","County
1194: Rhinegraviate","","","1072","1268: Annexed to Rhine"
"Stein am Rhein","HRE Abbey","","","",""
"Stein zu Nassau","HRE Lordship","","","",""
"Steinfurt","c1129: Lordship
1495: HRE County","Low Rhen","","c1129","1421: Annexed to Bentheim-Bentheim
1806: To Grand Duchy of Berg
1810: To France
1815: To Prussia"
"Sternberg-Manderscheid","County (personalist)","n/a","WF","",""
"Sternberg and Pyrmont","County","","","1536: Partitioned from Lippe","1583: Partitioned into Lippe-Detmold and Pyrmont"
"Sternberg-Schwalenberg","County","","","1627: Partitioned from Lippe-Detmold","1736: Partitioned into Lippe-Biesterfeld and Lippe-Weissenfeld"
"Sternstein
HRE Prince of Lobkowitz, Duke in Silesia at Sagan, Princely Count of Sternstein, Lord of Raudnitz","1641: HRE Princely County","Bav","","","1500: Bavarian Circle
To Lobkowitz"
"Stetten","Lordship","","","",""
"Stettenfels","Lordship","","","",""
"Stettin","Duchy","","","",""
"Stolberg
Count of Stolberg, Königstein, Rochefort, Wernigerode and Hohenstein, Lord of Eppstein/Epstein, Munzenberg, Breuberg, Agimont, Lohra & Klettenberg","County","Upp Sax","","1210","1231: Partitioned into Stolberg-Bockstädt and Stolberg-Stolberg
1429: Acquired County of Wernigerode
1538: Division into Count of Stolberg-Stolberg, Count of Stolberg-Königstein, Count of Stolberg-Rochefort, Count of Stolberg-Wernigerode, Count of Stolberg-Schwarza
1738: Under partial overlordship of the Electorate of Saxony"
"Stolberg-Bockstädt","County","","","1231: Partitioned from Stolberg","1346: Annexed to Stolberg-Stolberg"
"Stolberg-Gedern","1710: County
1742: Principality","","","1710: Partitioned from Stolberg-Wernigerode","1804: Re-annexed to Stolberg-Wernigerode"
"Stolberg-Hohenstein","1571: County","","","1571: Partitioned from Stolberg-Stolberg","1615: Reunited with Stolberg-Stolberg"
"Stolberg-Islenburg","County","","","1672: Partitioned from Stolberg-Wernigerode","1710: Re-annexed to Stolberg-Wernigerode"
"Stolberg-Königstein","1538-1581: County","","","1538: Partitioned from Stolberg-Stolberg","1581: Line extinct; annexed back to Stolberg-Stolberg"
"Stolberg-Ortenberg","County","","","1572: Partitioned from Stolberg-Wernigerode","1641: Divided between Stolberg-Stolberg and Stolberg-Wernigerode"
"Stolberg-Ortenberg","County","","","1572: Partitioned from Stolberg-Wernigerode
1669: Partitioned from Stolberg-Stolberg","1641: Division into Stolberg-Wernigerode and Stolberg-Stolberg
1684: To Stolerg-Stolberg
1704: Partitioned into Stolberg-Rossla and Stolberg-Stolberg"
"Stolberg-Rochefort","1538-1574: County","","","1538: Partitioned from Stolberg-Stolberg","1574: Line extinct; annexed to Löwenstein-Wertheim"
"Stolberg-Rossla","1704: County of Stolberg-Rossla
1893: Prince of Stolberg-Rossla","","","1704: Partitioned from Stolberg-Ortenberg
1730-1738: Under partial overlordshi of Saxony
1803: To Kingdom of Saxony
1815: To Prussia",""
"Stolberg-Schwarza","1538: County","","","1538: Partitioned from Stolberg-Stolberg
?1677: Partitioned from Stolberg-Wernigerode","1638: Annexed to Stolberg-Wernigerode
1748: Annexed to Stolberg-Wernigerode"
"Stolberg-Stolberg","1538: County
1893: Prince of Stolberg-Stolberg","","","1231: Partitioned from Stolberg","Partitioned several times
1631: Annexed to Stolberg-Wernigerode
1638: Recreated on partition
1684: Annexed to Stolberg-Ortenburg
1704: Recreated on partition
1730-1738: Under partial overlordshi of Saxony"
"Stolberg-Wernigerode","1538: County of Stolberg-Wernigerode","","","1538: Partitioned from Stolberg-Stolberg","1714: Under partial overlordship of Prussia
Partitioned several times, although countship continued."
"Storkow","Lordship","","","","1518: To Lebus Abbey
1556: Margrave of Brandenburg-Kustrin
1575: To Elector of Brandenburg"
"Strasbourg","Bishopric","Upp Rhen","EC","982
Autonomous from 775","1681: Annexed to France
1793: Council of Princes"
"Strasbourg (Strassburg)","1262: Imperial City","Upp Rhen","","","1681: Annexed to France"
"Stühlingen (Stuhlingen)","Landgraviate","Swab","","1582: Partitioned from Pappenheim","1084: 1st mention of \"comes de Stulingen\"
1120: Rudolf of Lenzburg as 1st Landgrave of Stuhlingen (extinct 1172)
1172: To Lords of Kussenberg (extinct 1250)
1251: To Counts of Lupfen through female inheritance
1251: Counts of Lupfen and Stuhlingen (extinct 1582)
1582: Lords of Pappenheim (extinct 1639) purchased Stuhlingen from Emperor for 80,000 guldens
1603: Pappenheims took possession of Stuhlingen after settling inheritance issues
1605: Acquired Lordship of Hewen
1639: Stuhlingen, Hewen and city of Engen to Fürstenberg by female inheritance
1806: To Grand Duchy of Baden"
"Styria (Steiermark)","c. 970: Margraviate
1180: Duchy","Aust","PR","","till 1180 \"Carantanian March\" and six counties as fief of the Duchy of Carinthia; 1180: Duchy; 1192: Inherited by the Babenbergs, Dukes of Austria
1254: Under control of Hungary
1260: Under control of Ottokar II. of Bohemia
1276: Became a Habsburg possession
1379-1436 and 1564-1619: Separate Habsburg line ruled in Styria
1512: Austrian Circle
1582: HRE Council of Princes"
"Sulz","1139: Lordship
County","","","1071","1252: Acquired by Lords of Geroldseck
1270-1472: To Lords of Geroldseck
Rudolf of Sulz acquired Lordships of Rotenberg and Kriechingen and County of Klettgau
1473: Acquired by Wurttemberg
1510: Last Baron of Brandis sold Vaduz and Schellenberg to Counts of Sulz
1519-1534: Sulz belonged to Lords of Geroldseck
1534: To Wurttemberg
1572: Partitioned into Klettgau and Sulz-Vaduz
1613: Counts of Sulz sold Vaduz and Schellenberg to the Counts of Hohenems"
"Sulz-Vaduz","County","","","1572: Partitioned from Sulz","1616: Annexed to Weingarten"
"Sulzbach (Taunus)","HRE Village","","","",""
"Sulzbürg","Lordship
1522: Barony
1673: County","","","1322: Partitioned from Wolfstein","1500: Bavarian Circle
1740: Annexed to Bavaria"
"Sundgau
-See under Upper Alsace","c900's: County
Landgraviate","","","","900: 1st mention of County of Sundgau
1135: Landgraviate of Sundgau to Habsburgs
1648: Sold to France"
"Swabia","Duchy","","","c911: From the former Stem Duchy of Alemannia","1079-1268: To Hohenstaufens
1268: Discontinued
1289-1313: Reestablished for the House of Habsburg"
"Swabia","Landvogtei","","","",""
"Swabian Austria","Landgraviate","","","","Consisted of the Danube cities of Mengen, Munderkingen, Riedlingen, Saulgau and Waldsee (acquired between 1282 and 1331), the Margraviate of Burgau (1302 - 1304), the County of Berg with Ehingen and Schelklingen (1346), the County of Hohenburg with Rottenburg (1381), the County of Nellenburg (1465) and the provincial Prefecture of Swabia (1386 - 1541), Vorarlberg (14th century), the Breisgau (1478) with Freiburg (1368; seat of government since 1651), the provincial Prefecture of Ortenau (1551 - 1556) and the County of Tettnang (1780).
1512: Austrian Circle"
