| Judge                         | Court                            | Began active service | Ended active service                           | Ended senior status |
| Dean Whipple                  | W.D. Mo.                         | December 9, 1987     | April 30, 2007                                 | Incumbent           |
| Henry Rupert Wilhoit, Jr.     | E.D. Ky.                         | September 28, 1981   | December 31, 2000                              | Incumbent           |
| William Walter Wilkins        | D.S.C.                           | July 22, 1981        | July 10, 1986                                  | –                   |
| Ann Claire Williams           | N.D. Ill.                        | April 4, 1985        | November 17, 1999                              | –                   |
| Stephen Victor Wilson         | C.D. Cal.                        | October 17, 1985     | Incumbent                                      | –                   |
| Henry Travillion Wingate      | S.D. Miss.                       | October 17, 1985     | Incumbent                                      | –                   |
| Mark Lawrence Wolf            | D. Mass.                         | April 4, 1985        | January 1, 2013                                | Incumbent           |
| Alfred M. Wolin               | D.N.J.                           | December 9, 1987     | September 18, 2000                             | June 30, 2004       |
| Charles Robert Wolle          | S.D. Iowa                        | August 6, 1987       | October 16, 2001                               | Incumbent           |
| Kimba Wood                    | S.D.N.Y.                         | April 20, 1988       | June 1, 2009                                   | Incumbent           |
| Douglas Preston Woodlock      | D. Mass.                         | June 16, 1986        | Incumbent                                      | –                   |
| George E. Woods               | E.D. Mich.                       | November 16, 1983    | November 16, 1993                              | August 13, 2004     |
| William G. Young              | D. Mass.                         | April 4, 1985        | Incumbent                                      | –                   |
| James Zagel                   | N.D. Ill.                        | April 22, 1987       | Incumbent                                      | –                   |
| Lawrence Paul Zatkoff         | E.D. Mich.                       | March 4, 1986        | June 16, 2004                                  | Incumbent           |
| Thomas Samuel Zilly           | W.D. Wash.                       | April 20, 1988       | January 1, 2004                                | Incumbent           |
| William J. Zloch              | S.D. Fla.                        | November 4, 1985     | Incumbent                                      | –                   |
