"Genre","Date","Japanese title (Original title)","English title","Scoring","Notes"
"Film scores","1964","手をつなぐ子ら","Children Hand in Hand","","directed by Susumu Hani"
"Film scores","1964","白い朝","The White Dawn","","directed by Hiroshi Teshigahara"
"Film scores","1964","怪談","Kwaidan","","directed by Masaki Kobayashi"
"Film scores","1964","二十一歳の父","Our Happiness Alone, aka 21-Year-Old Father","","directed by Noboru Nakamura"
"Film scores","1964","暗殺","Assassination","","directed by Masahiro Shinoda"
"Film scores","1964","日本脱出","Nippon Escape","","directed by Yoshishige Yoshida"
"Film scores","1964","女体","The Call of Flesh","","directed by Hideo Onchi"
"Film scores","1964","自動車泥棒","Car Thieves","","directed by Yoshinori Wada (和田嘉訓)"
"Film scores","1965","美しさと哀しみと","With Beauty and Sadness","","directed by Masahiro Shinoda; based on the novel Beauty and Sadness by Yasunari Kawabata"
"Film scores","1965","最後の審判","Last Judgement","","directed by Hiromichi Horikawa (堀川弘通)"
"Film scores","1965","不思議なクミコ","Le Mystère Koumiko","","directed by Chris Marker; documentary film"
"Film scores","1965","ブワナ・トシの歌","Bwana Toshi","","directed by Susumu Hani"
"Film scores","1965","異聞猿飛佐助","Samurai Spy","","directed by Masahiro Shinoda"
"Film scores","1965","四谷怪談","Yotsuya Ghost Story","","directed by Shirō Toyoda"
"Film scores","1965","けものみち","Beast Alley","","directed by Eizō Sugawa; based on the novel Beast Alley by Seichō Matsumoto"
"Film scores","1966","紀ノ川 花の巻 文緒の巻","","","directed by Noboru Nakamura; based on the novel The River Ki by Sawako Ariyoshi"
"Film scores","1966","処刑の島","Captive's Island","","directed by Masahiro Shinoda"
"Film scores","1966","他人の顔","The Face of Another","","directed by Hiroshi Teshigahara; film adaptation of the novel by Kōbō Abe"
"Film scores","1966","あこがれ","Once a Rainy Day, aka Longing","","directed by Hideo Onchi"
"Film scores","1967","伊豆の踊子","The Dancing Girl of Izu, aka Izu Dancer","","directed by Hideo Onchi; film adaptation of the novel by Yasunari Kawabata"
"Film scores","1967","上意討ち 拝領妻始末","Samurai Rebellion","","directed by Masaki Kobayashi"
"Film scores","1967","あかね雲","Clouds at Sunset","","directed by Masahiro Shinoda"
"Film scores","1967","乱れ雲","Two in the Shadow, aka Bellowing Clouds","","directed by Mikio Naruse"
"Film scores","1968","めぐりあい","Two Hearts in the Rain, aka The Encounter","","directed by Hideo Onchi"
"Film scores","1968","燃えつきた地図","The Ruined Map, aka The Man without a Map","","directed by Hiroshi Teshigahara; based on the novel The Ruined Map by Kōbō Abe"
"Film scores","1968","日本の青春","Hymn to a Tired Man","","directed by Masaki Kobayashi"
"Film scores","1968","京","Kyō","","directed by Kon Ichikawa; documentary film"
"Film scores","1969","心中天網島","Double Suicide","","directed by Masahiro Shinoda"
"Film scores","1969","弾痕","The Bullet Wounded","","directed by Shirō Moritani (森谷司郎)"
"Film scores","1970","東京戦争戦後秘話","He Died after the War","","directed by Nagisa Oshima; also known as The Man Who Left His Will on Film"
"Film scores","1970","どですかでん","Dodes'ka-den","","directed by Akira Kurosawa"
"Film scores","1970","太陽の狩人","Sun's Hunter","","directed by Hideo Onchi; documentary film"
"Film scores","1971","甦える大地","The Earth Is Born Again","","directed by Noboru Nakamura"
"Film scores","1971","儀式","The Ceremony","","directed by Nagisa Oshima"
"Film scores","1971","いのちぼうにふろう","Inn of Evil","","directed by Masaki Kobayashi"
"Film scores","1971","沈黙","Silence","","directed by Masahiro Shinoda"
"Film scores","1971","天皇の世紀","","",""
"Film scores","1972","サマー・ソルジャー","Summer Soldiers","","directed by Hiroshi Teshigahara"
"Film scores","1972","夏の妹","Dear Summer Sister","","directed by Nagisa Oshima"
"Film scores","1972","Wonder World","Wonder World","","documentary film"
"Film scores","1973","青幻記 遠い日の母は美しく","Time within Memory","","directed by Toichiro Narushima (成島東一郎)"
"Film scores","1973","化石の森","The Petrified Forest","","directed by Masahiro Shinoda"
"Film scores","1974","卑弥呼","Himiko","","directed by Masahiro Shinoda"
"Film scores","1974","しあわせ","Happiness","","directed by Hideo Onchi"
"Film scores","1974","化石","The Fossil","","directed by Masaki Kobayashi; based on the novel by Yasushi Inoue"
"Film scores","1975","桜の森の満開の下","Under the Blossoming Cherry Trees","","directed by Masahiro Shinoda"
"Film scores","1977","錆びた炎","Incandescent Flame","","directed by Masahisa Sadanaga (貞永方久)"
"Film scores","1977","はなれ瞽女おりん","Ballad of Orin","","directed by Masahiro Shinoda"
"Film scores","1978","愛の亡霊","Empire of Passion","","directed by Nagisa Oshima"
"Film scores","1978","燃える秋","Glowing Autumn","","directed by Masaki Kobayashi"
"Film scores","1978","ファーム・ソング – 「日本人」第三部 –","The Japanese, A Film Trilogy: Farm Song (Part III)","","directed by John Nathan; documentary film"
"Film scores","1979","火宅 能「求塚」より","","","directed by Kihachirō Kawamoto; live action animation film"
"Film scores","1980","天平の甍","An Ocean to Cross","","directed by Kei Kumai"
"Film scores","1980","気 Breathing","Breathing","","directed by Toshio Matsumoto"
"Film scores","1981","水俣の図・物語","The Minamata Mural","","directed by Noriaki Tsuchimoto; documentary film"
"Film scores","1981","蓮如とその母","Rennyo, the Priest and His Mother","","directed by Kihachirō Kawamoto; live action animation film"
"Film scores","1981","シルクロード – 光と風と音 –","Silk Road: Hikari to kaze to oto","","documentary film (soundtrack for a video disc)"
"Film scores","1982","予言","Prophecy","","directed by Susumu Hani"
"Film scores","1983","東京裁判","Tokyo Trial (Tokyo Verdict)","","directed by Masaki Kobayashi; documentary film"
"Film scores","1984","アントニー・ガウディー","Antonio Gaudí","","directed by Hiroshi Teshigahara; documentary film"
"Film scores","1985","火まつり","Fire Festival","","directed by Mitsuo Yanagimachi"
"Film scores","1985","乱","Ran","","directed by Akira Kurosawa"
"Film scores","1985","AK　ドキュメント黒澤明","A.K.","","directed by Chris Marker; documentary film"
"Film scores","1985","ボクはボクに会いに行った","Boku wa boku ni aini itta","","documentary film"
"Film scores","1985","食卓のない家","The Empty Table, aka Home without a Table","","directed by Masaki Kobayashi"
"Film scores","1986","近松門左衛門 鑓の権三","Gonza the Spearman","","directed by Masahiro Shinoda; after a play by Chikamatsu Monzaemon"
"Film scores","1987","ヒロシマという名の少年","A Boy Named Hiroshima","","directed by Yoshiya Sugata (菅田良哉)"
"Film scores","1988","嵐が丘","Wuthering Heights","","directed by Yoshishige Yoshida; based on the novel by Emily Brontë"
"Film scores","1989","黒い雨","Black Rain","","directed by Shōhei Imamura"
"Film scores","1989","利休","Rikyu","","directed by Hiroshi Teshigahara"
"Film scores","1991","インランド・シー","The Inland Sea","","directed by Lucille Carra; documentary film"
"Film scores","1992","豪姫","Basara, the Princess Goh","","directed by Hiroshi Teshigahara"
"Film scores","1992","夢窓 庭との語らい","Dream Window: Reflections on the Japanese Garden","","directed by John Junkerman; documentary film"
"Film scores","1993","ライジング・サン","Rising Sun","","directed by Philip Kaufman"
"Film scores","1995","写楽","Sharaku","","directed by Masahiro Shinoda"
"Film scores","1995","日本映画の百年","100 Years of Japanese Cinema","","directed by Nagisa Oshima; documentary film"
"Radio scores","1955","音の四季","Oto no shiki: Symphonic Poem for Concrete Sound Objects and Music","","composition for radio"
"Radio scores","1955","海の幻想","Umi no gensō","","composition for radio"
"Radio scores","1955","炎","Honoo","","radio drama"
"Radio scores","1956","Kの死","K no shi","","radio drama"
"Radio scores","1956","秋の蝶","Aki no chō","","radio drama"
"Radio scores","1956","","Ningen Kazoku: Radio Fantasy","","radio drama"
"Radio scores","1957","","Gendai no Jujiro","","radio documentary"
"Radio scores","1957","","Sonanhi","","radio drama"
"Radio scores","1957","男の死","Otoko no shi (Billy the Kid): A Dialogic Cantata","","radio drama"
"Radio scores","1958","顔またはドン・ファンの死","Kao, matawa Don Juan no shi: Radio Drama in Kyōgen Style","","radio drama"
"Radio scores","1958","遠い声","Tooi koe","","radio drama"
"Radio scores","1958","","Taiyo no shogen: Radio Montage","","radio drama"
"Radio scores","1958","心中天の網島","Shinjū ten no amijima: Radio Illusion","","radio drama"
"Radio scores","1958","","Hiroshima 1958: A Documentary Poetic Drama","","radio drama"
"Radio scores","1958","","Children's Corner","","radio drama"
"Radio scores","1959","","Onnamen","","radio drama"
"Radio scores","1959","ポジション","Position: Collage of Voices","","composition for radio"
"Radio scores","1959","","Kyoko no ie","","radio drama"
"Radio scores","1960","","Kotoba no hiroba","","educational radio program"
"Radio scores","1960","白い恐怖","Shiroi kyōfu: A Poem Composed for Radio","","radio drama"
"Radio scores","1960","","Hitachibo Kaison","","radio drama"
"Radio scores","1960","","Operation 1960","","radio drama"
"Radio scores","1960","","Kuro no kiroku 1960 nen: Magarikado de furikaeru","","radio documentary"
"Radio scores","1962","","Gun King","","radio drama"
"Radio scores","1962","","Kuroi nagai kage no kiroku","","radio drama"
"Radio scores","1962","瘋癲老人日記","Futen rōjin nikki","","radio drama"
"Radio scores","1962","","Kokoro no uchū o iku","","radio drama"
"Radio scores","1963","チャンピオン","Champion: An Architectural Attempted by Sound","","radio drama"
"Radio scores","1977","","Chikatetsu no Alice","","radio drama"
"Radio scores","1978","","Aa Mujo","","radio drama"
"Radio scores","1980","","Toyamaru wa naze shizundaka","","radio drama"
"Radio scores","1980","","Tooi anata e","","radio drama"
"Radio scores","1981","津の国人","Tsunokunibito","","radio reading of the novel by Murō Saisei"
"Radio scores","1983","かたちもなく寂し","Katachi mo naku sabishi","","radio drama"
"Radio scores","1983","上海幻影路","Shanghai geneiro","","radio drama"
"Radio scores","1988","でんしゃみち","Denshamichi","","radio drama"
"Television scores","1955","家なき子","Ienakiko","","children's television program"
"Television scores","1959","あざのある女","Aza no aru onna","","television drama"
"Television scores","1960","日本一九六〇","Nippon 1960","","television documentary"
"Television scores","1961","あなたは誰でしょう","Anata wa dare deshō","","television drama"
"Television scores","1961","ムックリを吹く女","Mukkuri o fuku onna","","television drama"
"Television scores","1962","日本の文様","Nippon no monyo","","television documentary"
"Television scores","1962","廃墟","Haikyo","","television documentary"
"Television scores","1962","祭","Matsuri","","television drama"
"Television scores","1963","もし、あなただったら…","Moshi, anata dattara...","","television drama"
"Television scores","1963","正塚の婆さん","Shōzuka no baasan","","television drama"
"Television scores","1964","青春の碑","Seishun no hi","","television documentary"
"Television scores","1964","目撃者","Mokugekisha","","television drama"
"Television scores","1965","ある女の影","Aru onna no kage","","television drama"
"Television scores","1965","源氏物語","Genji Monogatari (The Tale of Genji)","","television drama"
"Television scores","1966","源義経","Minamotono Yoshitsune","","television drama"
"Television scores","1966","二十歳","Hatachi","","television drama"
"Television scores","1966","楠木正成","Kusunoki Masashige","","television drama"
"Television scores","1966","足利尊氏","Ashikaga Takauji","","television drama"
"Television scores","1966","あなたは…","Anata wa...","","television documentary"
"Television scores","1967","剣","Ken","","television drama"
"Television scores","1968","恩讐の彼方に","Onshu no kanata ni","","television drama"
"Television scores","1968","元禄一代女","Genroku ichidai onna","","television drama"
"Television scores","1969","悪一代","Aku ichidai","","television drama"
"Television scores","1971","もう一つの傷","Mo hitotsu no kizu","","television drama"
"Television scores","1971","天皇の世紀","Tenno no seiki","","television drama"
"Television scores","1972","女人幻想","Nyonin genso","","television drama"
"Television scores","1972","イン・モーション – 音と映像による音楽作品 –","In Motion: A Musical Work of Sounds and Visions","","television broadcast"
"Television scores","1972","化石","The Fossil (Kaseki)","","television drama"
"Television scores","1973","わが愛","Waga ai","","television drama"
"Television scores","1974","私という他人","Watashi to iu tanin","","television drama"
"Television scores","1974","未来への遺産","Mirai e no isan / The Legend for the Future","","television documentary"
"Television scores","1976","冬の虹","Fuyu no niji","","television drama"
"Television scores","1977","命もいらず名もいらず・西郷隆盛伝","Inochi mo irazu, na mo irazu: Saigō Takamori den","","television drama about Saigō Takamori"
"Television scores","1977","危険な童話　私は殺さない…","Kiken na dōwa: Watashi wa korosanai...","","television drama"
"Television scores","1978","おはん","Ohan","","television drama"
"Television scores","1979","ルーヴル美術館－絢爛たる人類の遺産－","Le Musée du Louvre: Kenrantaru jinrui no isan","","television documentary"
"Television scores","1979","赤穂浪士","Akō roshi","","television drama"
"Television scores","1980","血族","Ketsuzoku","","television drama"
"Television scores","1981","夢千代日記","Yumechiyo nikki","","television drama"
"Television scores","1982","NHK市民大学","NHK Shimin Daigaku","","educational television program"
"Television scores","1983","ジョバンニの銀河 1983","Giovanni no ginga 1983","","visual poem broadcast on television"
"Television scores","1983","まあええわいな","Maa eewaina","","television drama"
"Television scores","1983","話すことはない","Hanasu koto wa nai","","television drama"
"Television scores","1983","波の盆","Nami no bon","","television drama"
"Television scores","1984","21世紀は警告する","21 Seiki wa keikokusuru","","television documentary"
"Television scores","1985","おさんの恋","Osan no koi","","television drama"
"Television scores","1985","谷崎・その愛、我という人の心は","Tanizaki: Sono ai, ware to iu hito no kokoro wa","","television drama"
"Television scores","1986","禅の世界","Zen no sekai","","television documentary"
"Television scores","1987","今朝の秋","Kesa no aki","","television drama"
"Television scores","1989","山頭火－何でこんなに淋しい風がふく－","Santoka, nande konnani sabishii kaze fuku","","television drama"
"Television scores","1993","幻　源氏物語絵巻","Maboroshi: Genji monogatari emaki","","television drama"
