| City 2010 census | Chinese | Built-up Area | Urban Area | Level                                                        | Administrative Area | Province-level division | Remarks                                                                                                                                                                                                             |
| Zaozhuang        | 枣庄      | 899,700       | 2,125,136  | Prefecture-level city                                        | 3,729,300           | Shandong                | Xuecheng, Shanting and Tai'erzhuang urban districts not in built-up area.                                                                                                                                           |
| Kaifeng          | 开封      | 896,057       | 896,057    | Prefecture-level city                                        | 4,676,159           | Henan                   |                                                                                                                                                                                                                     |
| Hengyang         | 衡阳      | 886,424       | 936,789    | Prefecture-level city                                        | 7,141,462           | Hunan                   |                                                                                                                                                                                                                     |
| Shaoxing         | 绍兴      | Hangzhou      | 883,800    | Prefecture-level city                                        | 4,912,200           | Zhejiang                | Yuecheng urban district and Shaoxing County in Hangzhou built-up area.                                                                                                                                              |
| Jiamusi          | 佳木斯     | 881,711       | 881,711    | Prefecture-level city                                        | 2,552,097           | Heilongjiang            |                                                                                                                                                                                                                     |
| Suihua           | 绥化      | 877,682       | 877,682    | Prefecture-level city                                        | 5,416,339           | Heilongjiang            |                                                                                                                                                                                                                     |
| Jinzhou          | 锦州      | 875,955       | 875,955    | Prefecture-level city                                        | 3,126,463           | Liaoning                |                                                                                                                                                                                                                     |
| Langfang         | 廊坊      | 868,066       | 868,066    | Prefecture-level city                                        | 4,358,839           | Hebei                   | Sanhe City and Dachang Hui Autonomous County included in Beijing built-up area.                                                                                                                                     |
| Jiaozuo          | 焦作      | 865,356       | 865,356    | Prefecture-level city                                        | 3,539,860           | Henan                   |                                                                                                                                                                                                                     |
| Rizhao           | 日照      | 865,032       | 1,143,078  | Prefecture-level city                                        | 2,801,100           | Shandong                | Lanshan urban District not in built-up area.                                                                                                                                                                        |
| Wuhu             | 芜湖      | 864,932       | 1,009,824  | Prefecture-level city                                        | 2,263,123           | Anhui                   |                                                                                                                                                                                                                     |
| Zhoushan         | 舟山      | 843,000       | 843,000    | Prefecture-level city                                        | 1,121,300           | Zhejiang                |                                                                                                                                                                                                                     |
| Yibin            | 宜宾      | 836,383       | 836,383    | Prefecture-level city                                        | 4,472,001           | Sichuan                 |                                                                                                                                                                                                                     |
| Kashgar          | 喀什      | 819,095       | 396,795    | County-level city Special Economic Zones                     | 3,979,321           | Xinjiang                | Incl. Shule County being urbanized.                                                                                                                                                                                 |
| Dandong          | 丹东      | 798,364       | 798,364    | Prefecture-level city                                        | 2,444,697           | Liaoning                |                                                                                                                                                                                                                     |
| Anqing           | 安庆      | 780,514       | 780,514    | Prefecture-level city                                        | 5,311,000           | Anhui                   |                                                                                                                                                                                                                     |
| Huludao          | 葫芦岛     | 777,682       | 777,682    | Prefecture-level city                                        | 2,623,541           | Liaoning                |                                                                                                                                                                                                                     |
| Shaoyang         | 邵阳      | 753,194       | 753,194    | Prefecture-level city                                        | 7,071,741           | Hunan                   |                                                                                                                                                                                                                     |
| Binzhou          | 滨州      | 709,700       | 709,700    | Prefecture-level city                                        | 3,748,500           | Shandong                |                                                                                                                                                                                                                     |
| Zhangzhou        | 江       | Xiamen        | 705,649    | Prefecture-level city                                        | 4,809,983           | Guangdong               | Longwen, Xiacheng Zhangzhou urban districts and Longhai city now in Xiamen built-up area.                                                                                                                           |
| Fuxin            | 阜新      | 686,848       | 686,848    | Prefecture-level city                                        | 1,819,339           | Liaoning                |                                                                                                                                                                                                                     |
| Dezhou           | 德州      | 679,600       | 679,600    | Prefecture-level city                                        | 5,568,200           | Shandong                |                                                                                                                                                                                                                     |
| Yangjiang        | 阳江      | 676,858       | 676,858    | Prefecture-level city                                        | 2,421,812           | Guangdong               |                                                                                                                                                                                                                     |
| Tieling          | 铁岭      | 666,755       | 328,555    | Prefecture-level city                                        | 2,717,732           | Liaoning                | Incl. Tieling County now in built-up area.                                                                                                                                                                          |
| Liaoyang         | 辽阳      | Anshan        | 655,738    | Prefecture-level city                                        | 1,859,768           | Liaoning                |                                                                                                                                                                                                                     |
| Puyang           | 濮阳      | 655,631       | 655,631    | Prefecture-level city                                        | 3,598,494           | Henan                   |                                                                                                                                                                                                                     |
| Yulin            | 玉林      | 637,617       | 637,617    | Prefecture-level city                                        | 3,351,437           | Guangxi                 | Incl. largely rural areas.                                                                                                                                                                                          |
| Jingjiang        | 靖江      | 617,277       | 617,277    | County-level city                                            | Taizhou             | Jiangsu                 |                                                                                                                                                                                                                     |
| Jiujiang         | 九江      | 592,381       | 592,381    | Prefecture-level city                                        | 4,728,764           | Jiangxi                 |                                                                                                                                                                                                                     |
| Taizhou          | 泰州      | 586,392       | 1,417,567  | Prefecture-level city                                        | 4,618,558           | Jiangsu                 | Jiangyan suburban District not yet in built-up area.                                                                                                                                                                |
| Chuzhou          | 滁州      | 562,321       | 562,321    | Prefecture-level city                                        | 3,937,868           | Anhui                   |                                                                                                                                                                                                                     |
| Macau            | 澳门      | Zhuhai        | 552,503    | Special administrative region                                | 541,200             | Macau                   |                                                                                                                                                                                                                     |
| Cangzhou         | 沧州      | 536,793       | 536,793    | Prefecture-level city                                        | 7,134,053           | Hebei                   |                                                                                                                                                                                                                     |
| Aksu             | 阿克苏     | 535,657       | 535,657    | County-level city                                            | 2,370,887           | Xinjiang                | Incl. largely rural areas.                                                                                                                                                                                          |
| Beihai           | 北海      | 525,385       | 668,085    | Prefecture-level city                                        | 1,539,300           | Guangxi                 | Incl. Haicheng and Yinhai urban districts.                                                                                                                                                                          |
| Zhoukou          | 周口      | 505,139       | 505,139    | Prefecture-level city                                        | 8,953,172           | Henan                   |                                                                                                                                                                                                                     |
| Hegang           | 鹤岗      | 489,232       | 489,232    | Prefecture-level city                                        | 1,058,665           | Heilongjiang            | Dongshan District not yet in built-up area.                                                                                                                                                                         |
| Nanping          | 南平      | 467,875       | 467,875    | Prefecture-level city                                        | 2,645,549           | Fujian                  |                                                                                                                                                                                                                     |
| Chaozhou         | 潮州      | Shantou       | 452,472    | Prefecture-level city                                        | 2,669,844           | Guangdong               |                                                                                                                                                                                                                     |
| Lishui           | 丽水      | 451,400       | 451,400    | Prefecture-level city                                        | 2,117,000           | Zhejiang                |                                                                                                                                                                                                                     |
| Lhasa            | 拉萨      | 279,074       | 279,074    | Prefecture-level city Provincial capital                     | 559,423             | Tibet                   |                                                                                                                                                                                                                     |
| Karamay          | 克拉玛依    | 261,445       | 261,445    | Prefecture-level city                                        | 391,008             | Xinjiang                |                                                                                                                                                                                                                     |
| Altay            | 阿勒泰     | 190,064       | 190,064    | County-level city                                            | 603,280             | Xinjiang                |                                                                                                                                                                                                                     |
| Lijiang          | 丽江      | 155,540       | 155,540    | Prefecture-level city                                        | 1,244,769           | Yunnan                  |                                                                                                                                                                                                                     |
