"Title","Artist","Year","Location/GPS Coordinates","Material","Dimensions","Owner"
"Department of Agriculture Pediments","Adolph A. Weinman","1908","Jamie L. Whitten Building 38°53′17.8″N 77°1′47.68″W﻿ / ﻿38.888278°N 77.0299111°W","Vermont Marble","H. 6 ft. × L 25 ft.","United States Department of Agriculture"
"Scenes from American Industry","Otto Eggers","1956","Dirksen Senate Office Building","Bronze","5 panels. Each: Approx. 3½ ft. square.","Dirksen Senate Office Building"
"Eagle Pediment","Ulysses Ricci","1956","Dirksen Senate Office Building
38°53′42″N 77°2′11″W﻿ / ﻿38.89500°N 77.03639°W","Marble","D 4 ft.","Dirksen Senate Office Building"
"Olive Risley Seward","John Cavanaugh","1971","601 N. Carolina Ave, S.E.
38°53′11″N 76°59′54″W﻿ / ﻿38.88639°N 76.99833°W","Lead over burlap","Sculpture: approx. 72 × 24 × 27 in.; Stone base: approx. 30 × 18 × 18 in.","Kresh, David & Diane"
"Library of Congress Annex Doors","Lee Lawrie","1938","Adams building
Library of Congress","Bronze","3 sets of doors. Each set of doors: approx. H. 12 ft.","United States Capitol"
"A Cascade of Books","Frank Eliscu","ca. 1983","Library of Congress","Bronze","Sculpture: approx. L. 50 ft. × W. 25 ft.","United States Capitol"
"Equal Justice Under Law","Robert Ingersoll Aitken","1935","United States Supreme Court Building","Vermont Marble","Pediment: approx. H. 18 ft. W. 60 ft.","United States Capitol"
"Library of Congress Doors","Herbert Adams, Levi Olin Warner & Frederick William MacMonnies","1896","Library of Congress","Bronze","H 14 ft × W 7½ ft.","United States Capitol"
"Past","Robert Ingersoll Aitken","1935","National Archives and Records Administration","Indiana Limestone","Sculpture: approx. 20 × 8 × 12 ft.; Base: approx. 12 × 12 × 15 ft.","General Services Administration"
"Present","Robert Ingersoll Aitken","1935","National Archives and Records Administration","Indiana Limestone","Sculpture: approx. 20 × 8 × 12 ft.; Base: approx. 12 × 12 × 15 ft.","General Services Administration"
"Build-Grow","Richard Hunt","1992","700 11th St NW","Welded Bronze","Sculpture: approx. 23 ft. × 84 in. × 84 in.","Collin Equities"
"Growth Columns","Richard Hunt","1992","700 11th St NW","Welded Bronze","4 columns. Columns: approx. H. ranges 15 to 19 ft. Diam. ranges 12 to 16 in.","Collin Equities"
"Branching Column","Richard Hunt","1992","700 11th St NW","Welded Bronze","Sculpture: approx. 4 × 3 × 2 ft.; Base: approx. H. 7 ft. Diam. 8 in.","Collin Equities"
"Swan Column","Richard Hunt","1992","700 11th St NW","Welded Bronze","Sculpture: approx. H. 3 ft. W. 4 ft.; Base: approx. H. 6 ft. Diam: 11 ft.","Collin Equities"
"Composition for the Axemen","Ken Wyten","","830 First Street, N.E., Washington, District of Columbia","","","Dreyfus, Zuckerman & Kronstadt"
"Trigadilly","Chas Coburn","1990","820 1st St, N.W. – Courtyard","Painted Steel","Sculpture: approx. 35 s 4 × 16 ft.; Base: approx. 8 × 4 × 20 ft.","Dreyfus, Zuckerman & Kronstadt"
"The Yellow Line","Constance Flueres","1989","Gallery Place Metro","","","Washington Metro"
"The Glory of Chinese Descendants","Foon Sham","2000","Gallery Place Metro, Chinatown Exit","","","Washington Metro]"
"Epoch","Albert Paley","2004","PEPCO Headquarters","","","Washington Metro]"
"Air Shaft Tunnel","Val E. Lewton","1992","H St. N.W. & 3rd St. N.W.","","",""
"Of the People","Egon Daley","1995","One Judiciary Square, 441 4th St., N.W.","","",""
"Quadrature Nimbii","Val E. Lewton","1996","One Judiciary Square, 441 4th St., N.W.","","",""
"Hopscotch Bridge","Val E. Lewton","1997","H Street Bridge, H St. between N Capitol 7 1st St.","","",""
"Earth Point","Karen Brown","2003","Office of Homeland Security, 2720 Martin Luther King Jr. Ave., S.E.","","",""
"Ready","William Wegman","","L'Enfant Plaza Metro Station","","",""
"Southwest Gateway","G. Byron Peck","2008","12th St Tunnels, Maine Ave SW & 12th St, S.W.","","2400 Sq. Ft.",""
"Dragon Gate","Andrew T. Crawford","2007","Alley, between 603 and 604 H St., N.W.","","",""
"Balance","Marcia Billig","2002","13th St., N.E. & Constitution Ave., N.E. & Tennessee Ave., N.E.","Bronze","",""
"Ocean Piece","Jorge Martin","1995","Archives station","Marble","","Washington Metro"
"The Tempest","Greg Wyatt","1993–1994","Folger Shakespeare Library","","","Folger Shakespeare Library"
"Julius Caesar","Greg Wyatt","1993–1994","Folger Shakespeare Library","","","Folger Shakespeare Library"
"King Lear","Greg Wyatt","1993–1994","Folger Shakespeare Library","","","Folger Shakespeare Library"
"Hamlet","Greg Wyatt","1993–1994","Folger Shakespeare Library","","","Folger Shakespeare Library"
"Twelfth Night","Greg Wyatt","1993–1994","Folger Shakespeare Library","","","Folger Shakespeare Library"
"A Midsummer Night's Dream","Greg Wyatt","1993–1994","Folger Shakespeare Library","","","Folger Shakespeare Library"
"Henry IV, Part 2","Greg Wyatt","1993–1994","Folger Shakespeare Library","","","Folger Shakespeare Library"
"Macbeth","Greg Wyatt","1993–1994","Folger Shakespeare Library","","","Folger Shakespeare Library"
"Bearing Witness","Martin Puryear","ca. 1998","Ronald Reagan Building and International Trade Center, Woodrow Wilson Plaza 38°53′36.98″N 77°1′47.46″W﻿ / ﻿38.8936056°N 77.0298500°W","Hammer-formed bronze plate","Approx. H. 40 ft.",""
"Federal Triangle Flowers","Stephen Robin","ca. 1998","Ronald Reagan Building and International Trade Center, Woodrow Wilson Plaza 38°53′38.03″N 77°1′46.75″W﻿ / ﻿38.8938972°N 77.0296528°W","Aluminum & Limestone","Sculptures: approx. H. 10 ft. × L. 14 ft. × W. 7 ft.",""
"Robert F. Kennedy Memorial","Robert Berks","ca. 1969","United States Department of Justice","Bronze & Marble","",""
"Lions","Unknown","","Capital Grille, 601 Pennsylvania Ave., N.W.","","",""
"Rhodes Tavern Plaque","Unknown","2002","F & 15th Sts., N.W.
38°53′51″N 77°2′1″W﻿ / ﻿38.89750°N 77.03361°W","","",""
"Art Deco Eagle Lampposts","Nathan C. Wyeth","","301 C St., N.W.","","",""
"The Extra Mile","","","Along Pennsylvania Ave., 15th St., G St., and 11th St.
38°53′43.8″N 77°2′0.96″W﻿ / ﻿38.895500°N 77.0336000°W","","",""
"Boundary Markers","","","F, G, 4th & 5th Sts., N.W.","","",""
"Tool de Force","","","National Building Museum","","",""
"Cristoforo Columbo","Carlo Nicoli","1992","Holy Rosary Church","Bronze","",""
"Michelangelo Buonarroti","Carlo Nicoli","","Casa Italiana District of Columbia","Marble","",""
"Giuseppe Verdi","Carlo Nicoli","","Casa Italiana District of Columbia","Marble","",""
"Dante Alighieri","Carlo Nicoli","","Casa Italiana District of Columbia","Marble","",""
"Guglielmo Marconi","Carlo Nicoli","","Casa Italiana District of Columbia","Marble","",""
"The Chess Players","Lloyd Lillie","1983","John Marshall Park","Bronze","Left figure: approx. 58 × 23 × 28 in., Right figure: approx. 58 × 29 × 38 in.",""
"Guns into Plowshares","Esther Augsburger & Michael Augsburger","1997","Indiana Ave. & 4th St., N.W.","Steel and 3,000 disabled handguns.","Sculpture: approx. H. 16 ft.",""
"National Law Enforcement Officers Memorial","Raymond Kaskey","1991","E Street, between 4th & 5th Streets, N.W.
38°53′48.28″N 77°1′3.19″W﻿ / ﻿38.8967444°N 77.0175528°W","Bronze","Lions: approx. 70 × 35 × 118 in.; Cubs: approx. 25 × 37 × 64 in.",""
"Lily Pond","David Phillips","","Between the Canadian Embassy and the U.S. Courthouse.","Bronze","",""
"She Who Must be Obeyed","Tony Smith","","Frances Perkins Building","Steel","",""
"Slow Rondo","","","United States National Academies, Keck Center","","",""
"Dwight D. Eisenhower Memorial","Frank Gehry","","38°53′14″N 77°1′10″W﻿ / ﻿38.88722°N 77.01944°W","","","National Park Service"
"Spirit of Haida Gwaii","Bill Reid","1988
Cast: 1991","Canadian Embassy","Bronze","13.2 ft. h. × 20 ft. l., 11,000 lbs.","Canadian Embassy"
"Chthonodynamis","Robert Russin","1992","United States Department of Energy","Granite","",""
"Heroic Shore Points","James Rosati","ca. 1976","Hubert H. Humphrey Building","Aluminum","",""
