"Location","Region","Coordinates
(links to map & photo sources)","Population","Elevation"
"Santiago de Chuco","La Libertad","8°09′00″S 78°11′00″W﻿ / ﻿8.15°S 78.18333°W","6759","2950"
"Santo Tomas","Cusco","14°26′44″S 72°05′03″W﻿ / ﻿14.44556°S 72.08417°W","4134","3679"
"Saposoa","San Martín","6°56′02″S 76°46′18″W﻿ / ﻿6.93395°S 76.77158°W","14894","360"
"Saquena","Loreto","4°40′00″S 73°31′00″W﻿ / ﻿4.66667°S 73.51667°W","4362","113"
"Satipo","Junín","11°15′08″S 74°38′19″W﻿ / ﻿11.25222°S 74.63861°W","15532","627"
"Sayán","Lima","11°08′10″S 77°11′36″W﻿ / ﻿11.13611°S 77.19333°W","6196","961"
"Sechura","Piura","5°33′25″S 80°49′20″W﻿ / ﻿5.55694°S 80.82222°W","23020","1"
"Sicaya","Junín","12°02′00″S 75°17′00″W﻿ / ﻿12.03333°S 75.28333°W","6842","3636"
"Sicuani","Cusco","14°16′10″S 71°13′34″W﻿ / ﻿14.26944°S 71.22611°W","33575","3716"
"Soritor","San Martín","6°08′21″S 77°06′14″W﻿ / ﻿6.13917°S 77.10389°W","10858","846"
"Subtanjalla","Ica","14°01′08″S 75°45′29″W﻿ / ﻿14.01889°S 75.75806°W","9096","418"
"Sullana","Piura","4°54′14″S 80°41′07″W﻿ / ﻿4.90389°S 80.68528°W","160789","67"
"Supe","Lima","10°48′00″S 77°44′00″W﻿ / ﻿10.8°S 77.73333°W","13719","153"
"Tabalosos","San Martín","6°21′00″S 76°41′00″W﻿ / ﻿6.35°S 76.68333°W","14744","627"
"Tacna","Tacna","18°00′20″S 70°14′54″W﻿ / ﻿18.00556°S 70.24833°W","280098","601"
"Talara","Piura","4°34′38″S 81°16′19″W﻿ / ﻿4.57722°S 81.27194°W","99074","14"
"Talavera","Apurímac","13°39′11″S 73°25′45″W﻿ / ﻿13.65306°S 73.42917°W","7381","3000"
"Tambo","Ayacucho","14°48′00″S 73°55′00″W﻿ / ﻿14.8°S 73.91667°W","5032","4265"
"Tambo Grande","Piura","4°55′37″S 80°20′41″W﻿ / ﻿4.92694°S 80.34472°W","30033","96"
"Tambopata","Madre de Dios","12°44′00″S 69°11′00″W﻿ / ﻿12.73333°S 69.18333°W","38966","200"
"Taquile","Puno","15°46′00″S 69°41′00″W﻿ / ﻿15.76667°S 69.68333°W","2000","3827"
"Tarata","Tacna","17°28′28″S 70°01′58″W﻿ / ﻿17.47444°S 70.03278°W","3052","3329"
"Tarma","Junín","11°25′11″S 75°41′27″W﻿ / ﻿11.41972°S 75.69083°W","51350","4058"
"Tingo María","Huanuco","9°17′22″S 76°00′32″W﻿ / ﻿9.28951°S 76.00876°W","53177","657"
"Tinta","Cusco","14°08′42″S 71°24′25″W﻿ / ﻿14.145°S 71.40694°W","3466","3571"
"Tinyahuarco","Pasco","10°45′S 76°18′W﻿ / ﻿10.75°S 76.3°W","5066","3734"
"Tocache Nuevo","San Martín","8°11′03″S 76°30′45″W﻿ / ﻿8.18417°S 76.5125°W","29029","457"
"Torata","Moquegua","17°04′37″S 70°50′36″W﻿ / ﻿17.07694°S 70.84333°W","7054","2327"
"Totoral","Tacna","17°24′19″S 70°21′54″W﻿ / ﻿17.40528°S 70.365°W","1976","2417"
"Trujillo","La Libertad","8°06′58″S 79°01′48″W﻿ / ﻿8.11599°S 79.02998°W","747450","36"
"Túcume","Lambayeque","6°30′36″S 79°51′30″W﻿ / ﻿6.51°S 79.85833°W","7043","149"
"Tumbes","Tumbes","3°34′00″S 80°26′29″W﻿ / ﻿3.56667°S 80.44139°W","109223","8"
"Tungasuca","Cusco","14°09′50″S 71°28′36″W﻿ / ﻿14.16389°S 71.47667°W","3791","3950"
"Uchiza","San Martín","8°27′33″S 76°27′48″W﻿ / ﻿8.45917°S 76.46333°W","17742","615"
"Urcos","Cusco","13°41′10″S 71°37′22″W﻿ / ﻿13.68611°S 71.62278°W","5479","3106"
"Urubamba","Cusco","13°18′17″S 72°06′57″W﻿ / ﻿13.30472°S 72.11583°W","7540","3048"
"Végueta","Lima","11°01′23″S 77°38′35″W﻿ / ﻿11.02306°S 77.64306°W","6219","2"
"Vice","Piura","5°25′00″S 80°47′00″W﻿ / ﻿5.41667°S 80.78333°W","12915","9"
"Villa Rica","Pasco","10°44′22″S 75°16′11″W﻿ / ﻿10.73944°S 75.26972°W","7448","879"
"Villa Tupac Amaru","Ica","13°42′S 76°09′W﻿ / ﻿13.7°S 76.15°W","11159","81"
"Virú","La Libertad","8°25′00″S 78°45′00″W﻿ / ﻿8.41667°S 78.75°W","20774","65"
"Vizcachane","Arequipa","15°48′31″S 71°12′04″W﻿ / ﻿15.80861°S 71.20111°W","4407","4529"
"Yanacancha","Huanuco","10°14′28″S 76°38′44″W﻿ / ﻿10.24111°S 76.64556°W","23175","3986"
"Yanahuanca","Pasco","10°31′00″S 76°29′55″W﻿ / ﻿10.51667°S 76.49861°W","5992","3441"
"Yanaoca","Cusco","14°13′05″S 71°25′54″W﻿ / ﻿14.21806°S 71.43167°W","3913","3962"
"Yauya","Ancash","8°59′00″S 77°18′00″W﻿ / ﻿8.98333°S 77.3°W","9092","3001"
"Yungay","Ancash","9°08′18″S 77°44′37″W﻿ / ﻿9.13833°S 77.74361°W","5269","2787"
"Yunguyo","Puno","16°15′00″S 69°05′00″W﻿ / ﻿16.25°S 69.08333°W","16140","3826"
"Yura","Arequipa","16°15′08″S 71°40′47″W﻿ / ﻿16.25223°S 71.67969°W","5686","2694"
"Yurimaguas","Loreto","5°54′00″S 76°05′00″W﻿ / ﻿5.9°S 76.08333°W","41827","185"
"Zaña","Lambayeque","6°55′20″S 79°35′03″W﻿ / ﻿6.92222°S 79.58417°W","39200","95"
"Zarumilla","Tumbes","3°30′11″S 80°16′23″W﻿ / ﻿3.50306°S 80.27306°W","16907","35"
"Zorritos","Tumbes","3°40′00″S 80°40′00″W﻿ / ﻿3.66667°S 80.66667°W","12261","3"
