Country	2014	2013	2012	2010	2009	2008	2007	2006	2005	2004	2003	2002
Afghanistan	(128)\n37.07	(128)\n37.36	(150)\n74.00	(147)\n51.67	(149)\n54.25	(156)\n59.25	(142)\n56.50	(130)\n44.25	(125)\n39.17	(097)\n28.25	(134)\n40.17	(104)\n35.50
Honduras	(129)\n37.14	(127)\n36.92	(135)\n61.00	(143)\n51.13	(128)\n42.00	(099)\n21.50	(087)\n25.50	(062)\n14.50	(076)\n18.00	(053)\n11.75	(065)\n14.17	N/A
Thailand	(130)\n37.94	(135)\n38.60	(137)\n61.50	(153)\n56.83	(130)\n44.00	(124)\n34.50	(135)\n53.50	(122)\n33.50	(107)\n28.00	(059)\n14.00	(082)\n19.67	(065)\n22.75
Cameroon	(131)\n38.13	(120)\n34.78	(097)\n35.00	(129)\n44.30	(109)\n30.50	(129)\n36.90	(111)\n36.00	(112)\n28.25	(083)\n20.50	(093)\n27.00	(098)\n30.50	(088)\n28.83
Indonesia	(132)\n38.15	(139)\n41.05	(146)\n68.00	(117)\n35.83	(100)\n28.50	(111)\n27.00	(100)\n30.50	(103)\n26.00	(102)\n26.00	(117)\n37.75	(110)\n34.25	(057)\n20.00
Tunisia	(133)\n38.69	(138)\n39.93	(134)\n60.25	(164)\n72.50	(154)\n61.50	(143)\n48.10	(145)\n57.00	(148)\n53.75	(147)\n57.50	(152)\n62.67	(149)\n50.83	(128)\n67.75
Oman	(134)\n38.83	(141)\n41.51	(117)\n55.00	(124)\n40.25	(106)\n29.50	(123)\n32.67	N/A	N/A	N/A	N/A	(152)\n57.75	N/A
Zimbabwe	(135)\n39.19	(133)\n38.12	(117)\n55.00	(123)\n39.50	(136)\n46.50	(151)\n54.00	(149)\n62.00	(140)\n50.00	(153)\n64.25	(155)\n67.50	(141)\n45.50	(122)\n48.25
Morocco	(136)\n39.72	(136)\n39.04	(138)\n63.29	(135)\n47.40	(127)\n41.00	(122)\n32.25	(106)\n33.25	(097)\n24.83	(119)\n36.17	(126)\n43.00	(131)\n39.67	(089)\n29.00
Libya	(137)\n39.84	(131)\n37.86	(154)\n77.50	(160)\n63.50	(156)\n64.50	(160)\n61.50	(155)\n66.50	(152)\n62.50	(162)\n88.75	(154)\n65.00	(153)\n60.00	(129)\n72.50
Palestine	(138)\n40.11	(146)\n43.09	(153)\n76.00	(150)\n56.13	(161)\n69.83	(163)\n66.88	(158)\n69.83	(134)\n46.75	(132)\n42.50	(127)\n43.17	(130)\n39.25	(082)\n27.00
Chad	(139)\n40.22	(121)\n34.87	(103)\n37.67	(112)\n33.17	(132)\n44.50	(133)\n41.25	(113)\n36.50	(124)\n35.50	(109)\n30.00	(106)\n33.25	(088)\n24.00	(087)\n28.75
India	(140)\n40.34	(140)\n41.22	(131)\n58.00	(122)\n38.75	(105)\n29.33	(118)\n30.00	(120)\n39.33	(105)\n26.50	(106)\n27.00	(120)\n38.50	(128)\n39.00	(080)\n26.50
Jordan	(141)\n40.42	(134)\n38.47	(128)\n56.80	(120)\n37.00	(112)\n31.88	(128)\n36.00	(122)\n40.21	(109)\n27.50	(096)\n24.00	(121)\n39.13	(122)\n37.00	(099)\n33.50
Burundi	(142)\n40.50	(132)\n38.02	(130)\n57.75	(108)\n28.88	(103)\n29.00	(094)\n21.00	(127)\n43.40	(125)\n39.83	(090)\n23.00	(073)\n19.00	(092)\n26.25	(072)\n24.50
Ethiopia	(143)\n40.58	(137)\n39.57	(127)\n56.60	(139)\n49.38	(140)\n49.00	(142)\n47.75	(150)\n63.00	(160)\n75.00	(131)\n42.00	(112)\n37.00	(124)\n37.50	(107)\n37.50
Cambodia	(144)\n40.97	(143)\n41.81	(117)\n55.00	(128)\n43.83	(117)\n35.17	(126)\n35.50	(085)\n25.33	(108)\n27.25	(090)\n23.00	(109)\n36.50	(081)\n19.50	(071)\n24.25
Burma	(145)\n41.43	(151)\n44.71	(169)\n100.00	(174)\n94.50	(171)\n102.67	(170)\n94.38	(164)\n93.75	(164)\n94.75	(163)\n88.83	(165)\n103.63	(164)\n95.50	(137)\n96.83
Bangladesh	(146)\n42.58	(144)\n42.01	(129)\n57.00	(126)\n42.50	(121)\n37.33	(136)\n42.70	(134)\n53.17	(137)\n48.00	(151)\n61.25	(151)\n62.50	(143)\n46.50	(118)\n43.75
Malaysia	(147)\n42.73	(145)\n42.73	(122)\n56.00	(141)\n50.75	(131)\n44.25	(132)\n39.50	(124)\n41.00	(092)\n22.25	(113)\n33.00	(122)\n39.83	(104)\n32.00	(110)\n37.83
Russia	(148)\n42.78	(148)\n43.42	(142)\n66.00	(140)\n49.90	(153)\n60.88	(141)\n47.50	(144)\n56.90	(147)\n52.50	(138)\n48.67	(140)\n51.38	(148)\n49.50	(121)\n48.00
Philippines	(149)\n43.69	(147)\n43.11	(140)\n64.50	(156)\n60.00	(122)\n38.25	(139)\n45.00	(128)\n44.75	(142)\n51.00	(139)\n50.00	(111)\n36.63	(118)\n35.25	(089)\n29.00
Singapore	(150)\n44.29	(149)\n43.43	(135)\n61.00	(136)\n47.50	(133)\n45.00	(144)\n49.00	(141)\n56.00	(146)\n51.50	(140)\n50.67	(147)\n57.00	(144)\n47.33	N/A
Democratic Republic of the Congo	(151)\n44.64	(142)\n41.66	(145)\n67.67	(148)\n51.83	(146)\n53.50	(148)\n51.25	(133)\n50.50	(142)\n51.00	(146)\n57.33	(141)\n51.50	(127)\n38.50	(113)\n40.75
Mexico	(152)\n45.04	(153)\n45.30	(149)\n72.67	(136)\n47.50	(137)\n48.25	(140)\n46.13	(136)\n53.63	(132)\n45.83	(135)\n45.50	(096)\n27.83	(074)\n17.67	(075)\n24.75
Iraq	(153)\n45.44	(150)\n44.67	(152)\n75.36	(130)\n45.58	(145)\n53.30	(158)\n59.38	(157)\n67.83	(154)\n66.83	(157)\n67.00	(148)\n58.50	(124)\n37.50	(130)\n79.00
Turkey	(154)\n45.87	(154)\n46.56	(148)\n70.00	(138)\n49.25	(122)\n38.25	(102)\n22.75	(101)\n31.25	(098)\n25.00	(098)\n25.00	(113)\n37.25	(115)\n35.00	(099)\n33.50
Gambia	(155)\n46.42	(152)\n45.09	(141)\n65.50	(125)\n40.50	(137)\n48.25	(137)\n42.75	(130)\n48.25	(149)\n54.00	(130)\n41.00	(098)\n29.50	(077)\n18.25	(064)\n22.50
Swaziland	(156)\n46.76	(155)\n46.76	(144)\n67.00	(155)\n57.50	(144)\n52.50	(147)\n50.50	(138)\n54.50	(127)\n40.50	(118)\n35.00	(101)\n31.00	(124)\n37.50	(089)\n29.00
Belarus	(157)\n47.82	(157)\n48.35	(168)\n99.00	(154)\n57.00	(151)\n59.50	(154)\n58.33	(151)\n63.63	(151)\n57.00	(152)\n61.33	(144)\n54.10	(151)\n52.00	(124)\n52.17
Pakistan	(158)\n51.46	(159)\n51.31	(151)\n75.00	(151)\n56.17	(159)\n65.67	(152)\n54.88	(152)\n64.83	(157)\n70.33	(150)\n60.75	(150)\n61.75	(128)\n39.00	(119)\n44.67
Egypt	(159)\n51.89	(158)\n48.66	(166)\n97.50	(127)\n43.33	(143)\n51.38	(146)\n50.25	(146)\n58.00	(133)\n46.25	(143)\n52.00	(128)\n43.50	(110)\n34.25	(101)\n34.50
Azerbaijan	(160)\n52.87	(156)\n47.73	(162)\n87.25	(152)\n56.38	(146)\n53.50	(150)\n53.63	(139)\n55.40	(135)\n47.00	(141)\n51.00	(136)\n49.67	(113)\n34.50	(101)\n34.50
Kazakhstan	(161)\n54.94	(160)\n55.08	(154)\n77.50	(162)\n68.50	(142)\n49.67	(125)\n35.33	(125)\n41.63	(128)\n41.00	(119)\n36.17	(131)\n44.17	(138)\n42.50	(116)\n42.00
Rwanda	(162)\n56.57	(161)\n55.46	(156)\n81.00	(169)\n81.00	(157)\n64.67	(145)\n50.00	(147)\n58.88	(128)\n41.00	(122)\n38.00	(113)\n37.25	(110)\n34.25	(107)\n37.50
Bahrain	(163)\n58.26	(165)\n62.75	(173)\n125.00	(144)\n51.38	(119)\n36.50	(096)\n21.17	(118)\n38.00	(111)\n28.00	(123)\n38.75	(143)\n52.50	(117)\n35.17	(067)\n23.00
Saudi Arabia	(164)\n58.30	(163)\n56.88	(158)\n83.25	(157)\n61.50	(163)\n76.50	(161)\n61.75	(148)\n59.75	(161)\n76.00	(154)\n66.00	(159)\n79.17	(156)\n71.50	(125)\n62.50
Sri Lanka	(165)\n59.13	(162)\n56.59	(163)\n87.50	(158)\n62.50	(162)\n75.00	(165)\n78.00	(156)\n67.50	(141)\n50.75	(115)\n33.25	(109)\n36.50	(089)\n24.83	(051)\n15.75
Uzbekistan	(166)\n61.01	(164)\n60.39	(157)\n83.00	(163)\n71.50	(160)\n67.67	(162)\n62.70	(160)\n74.88	(158)\n71.00	(155)\n66.50	(142)\n52.13	(154)\n61.50	(120)\n45.00
Yemen	(167)\n67.26	(169)\n69.22	(171)\n101.00	(170)\n82.13	(167)\n83.38	(155)\n59.00	(143)\n56.67	(149)\n54.00	(136)\n46.25	(135)\n48.00	(136)\n41.83	(103)\n34.75
Equatorial Guinea	(168)\n67.95	(166)\n67.20	(161)\n86.00	(167)\n79.00	(158)\n65.50	(156)\n59.25	(153)\n65.25	(137)\n48.00	(133)\n44.00	(133)\n46.25	(139)\n44.75	(117)\n42.75
Djibouti	(169)\n70.34	(167)\n67.40	(159)\n83.50	(110)\n30.50	(110)\n31.00	(134)\n41.50	(132)\n50.25	(121)\n33.00	(121)\n37.00	(145)\n55.00	(120)\n35.50	(096)\n31.25
Cuba	(170)\n70.92	(171)\n71.64	(167)\n98.83	(166)\n78.00	(170)\n94.00	(169)\n88.33	(165)\n96.17	(165)\n95.00	(161)\n87.00	(166)\n106.83	(165)\n97.83	(134)\n90.25
Laos	(171)\n71.22	(168)\n67.99	(165)\n89.00	(168)\n80.50	(169)\n92.00	(164)\n70.00	(161)\n75.00	(156)\n67.50	(155)\n66.50	(153)\n64.33	(163)\n94.83	(133)\n89.00
Sudan	(172)\n71.88	(170)\n70.06	(170)\n100.75	(172)\n85.33	(148)\n54.00	(135)\n42.00	(140)\n55.75	(139)\n48.13	(133)\n44.00	(132)\n44.25	(142)\n45.75	(105)\n36.00
Iran	(173)\n72.29	(174)\n73.40	(175)\n136.60	(175)\n94.56	(172)\n104.14	(166)\n80.33	(166)\n96.50	(162)\n90.88	(164)\n89.17	(158)\n78.30	(160)\n89.33	(122)\n48.25
Vietnam	(174)\n72.36	(172)\n71.78	(172)\n114.00	(165)\n75.75	(166)\n81.67	(168)\n86.17	(162)\n79.25	(155)\n67.25	(158)\n73.25	(161)\n86.88	(159)\n89.17	(131)\n81.25
China	(175)\n72.91	(173)\n73.07	(174)\n136.00	(171)\n84.67	(168)\n84.50	(167)\n85.50	(163)\n89.00	(163)\n94.00	(159)\n83.00	(162)\n92.33	(161)\n91.25	(138)\n97.00
Somalia	(176)\n73.19	(175)\n73.59	(164)\n88.33	(161)\n66.00	(164)\n77.50	(153)\n58.00	(159)\n71.50	(144)\n51.25	(149)\n59.00	(128)\n43.50	(140)\n45.00	N/A
Syria	(177)\n77.04	(176)\n78.53	(176)\n138.00	(173)\n91.50	(165)\n78.00	(159)\n59.63	(154)\n66.00	(153)\n63.00	(145)\n55.00	(155)\n67.50	(155)\n67.50	(126)\n62.83
Turkmenistan	(178)\n80.81	(177)\n79.14	(177)\n140.67	(176)\n95.33	(173)\n107.00	(171)\n95.50	(167)\n103.75	(167)\n98.50	(165)\n93.50	(164)\n99.83	(158)\n82.83	(136)\n91.50
North Korea	(179)\n81.96	(178)\n83.90	(178)\n141.00	(177)\n104.75	(174)\n112.50	(172)\n96.50	(168)\n108.75	(168)\n109.00	(167)\n109.00	(167)\n107.50	(166)\n99.50	(139)\n97.50
Eritrea	(180)\n84.83	(179)\n84.83	(179)\n142.00	(178)\n105.00	(175)\n115.50	(173)\n97.50	(169)\n114.75	(166)\n97.50	(166)\n99.75	(163)\n93.25	(162)\n91.50	(132)\n83.67
United States (extraterritorial)	N/A	N/A	(057)\n19.00	(099)\n27.00	(108)\n30.00	(119)\n31.00	(111)\n36.00	(119)\n31.50	(137)\n48.50	(108)\n36.00	(135)\n41.00	N/A
Israel (extraterritorial)	N/A	N/A	(133)\n59.00	(132)\n47.00	(150)\n55.50	(149)\n51.50	(103)\n32.00	(135)\n47.00	N/A	(115)\n37.50	(146)\n49.00	N/A
Grenada	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	(055)\n12.00	N/A	N/A
