| Country                                  | 2014        | 2013        | 2012         | 2010         | 2009         | 2008        | 2007         | 2006         | 2005         | 2004         | 2003        | 2002        |
| Mali                                     | (122) 36.29 | (099) 30.03 | (025) 0.00   | (026) 8.00   | (030) 8.00   | (031) 7.50  | (052) 16.50  | (035) 9.00   | (037) 8.00   | (056) 12.83  | (056) 11.00 | (043) 12.50 |
| Macedonia                                | (123) 36.43 | (116) 34.27 | (094) 31.67  | (068) 18.40  | (034) 8.75   | (042) 8.25  | (036) 11.50  | (045) 11.50  | (043) 8.75   | (049) 11.25  | (051) 9.67  | N/A         |
| Angola                                   | (124) 36.50 | (130) 37.80 | (132) 58.43  | (104) 28.50  | (119) 36.50  | (116) 29.50 | (091) 26.50  | (091) 21.50  | (076) 18.00  | (091) 26.50  | (097) 28.00 | (093) 30.17 |
| Guatemala                                | (125) 36.61 | (095) 29.39 | (097) 35.00  | (077) 20.25  | (106) 29.50  | (101) 22.64 | (104) 33.00  | (090) 21.25  | (086) 21.50  | (066) 16.50  | (099) 30.83 | (083) 27.25 |
| Colombia                                 | (126) 36.68 | (129) 37.48 | (143) 66.50  | (145) 51.50  | (126) 40.13  | (126) 35.50 | (126) 42.33  | (131) 44.75  | (128) 40.17  | (134) 47.38  | (147) 49.17 | (114) 40.83 |
| Ukraine                                  | (127) 36.93 | (126) 36.79 | (116) 54.00  | (131) 46.83  | (089) 22.00  | (087) 19.25 | (092) 26.75  | (105) 26.50  | (112) 32.50  | (138) 51.00  | (132) 40.00 | (112) 40.00 |
| Afghanistan                              | (128) 37.07 | (128) 37.36 | (150) 74.00  | (147) 51.67  | (149) 54.25  | (156) 59.25 | (142) 56.50  | (130) 44.25  | (125) 39.17  | (097) 28.25  | (134) 40.17 | (104) 35.50 |
| Honduras                                 | (129) 37.14 | (127) 36.92 | (135) 61.00  | (143) 51.13  | (128) 42.00  | (099) 21.50 | (087) 25.50  | (062) 14.50  | (076) 18.00  | (053) 11.75  | (065) 14.17 | N/A         |
| Thailand                                 | (130) 37.94 | (135) 38.60 | (137) 61.50  | (153) 56.83  | (130) 44.00  | (124) 34.50 | (135) 53.50  | (122) 33.50  | (107) 28.00  | (059) 14.00  | (082) 19.67 | (065) 22.75 |
| Cameroon                                 | (131) 38.13 | (120) 34.78 | (097) 35.00  | (129) 44.30  | (109) 30.50  | (129) 36.90 | (111) 36.00  | (112) 28.25  | (083) 20.50  | (093) 27.00  | (098) 30.50 | (088) 28.83 |
| Indonesia                                | (132) 38.15 | (139) 41.05 | (146) 68.00  | (117) 35.83  | (100) 28.50  | (111) 27.00 | (100) 30.50  | (103) 26.00  | (102) 26.00  | (117) 37.75  | (110) 34.25 | (057) 20.00 |
| Tunisia                                  | (133) 38.69 | (138) 39.93 | (134) 60.25  | (164) 72.50  | (154) 61.50  | (143) 48.10 | (145) 57.00  | (148) 53.75  | (147) 57.50  | (152) 62.67  | (149) 50.83 | (128) 67.75 |
| Oman                                     | (134) 38.83 | (141) 41.51 | (117) 55.00  | (124) 40.25  | (106) 29.50  | (123) 32.67 | N/A          | N/A          | N/A          | N/A          | (152) 57.75 | N/A         |
| Zimbabwe                                 | (135) 39.19 | (133) 38.12 | (117) 55.00  | (123) 39.50  | (136) 46.50  | (151) 54.00 | (149) 62.00  | (140) 50.00  | (153) 64.25  | (155) 67.50  | (141) 45.50 | (122) 48.25 |
| Morocco                                  | (136) 39.72 | (136) 39.04 | (138) 63.29  | (135) 47.40  | (127) 41.00  | (122) 32.25 | (106) 33.25  | (097) 24.83  | (119) 36.17  | (126) 43.00  | (131) 39.67 | (089) 29.00 |
| Libya                                    | (137) 39.84 | (131) 37.86 | (154) 77.50  | (160) 63.50  | (156) 64.50  | (160) 61.50 | (155) 66.50  | (152) 62.50  | (162) 88.75  | (154) 65.00  | (153) 60.00 | (129) 72.50 |
| Palestine                                | (138) 40.11 | (146) 43.09 | (153) 76.00  | (150) 56.13  | (161) 69.83  | (163) 66.88 | (158) 69.83  | (134) 46.75  | (132) 42.50  | (127) 43.17  | (130) 39.25 | (082) 27.00 |
| Chad                                     | (139) 40.22 | (121) 34.87 | (103) 37.67  | (112) 33.17  | (132) 44.50  | (133) 41.25 | (113) 36.50  | (124) 35.50  | (109) 30.00  | (106) 33.25  | (088) 24.00 | (087) 28.75 |
| India                                    | (140) 40.34 | (140) 41.22 | (131) 58.00  | (122) 38.75  | (105) 29.33  | (118) 30.00 | (120) 39.33  | (105) 26.50  | (106) 27.00  | (120) 38.50  | (128) 39.00 | (080) 26.50 |
| Jordan                                   | (141) 40.42 | (134) 38.47 | (128) 56.80  | (120) 37.00  | (112) 31.88  | (128) 36.00 | (122) 40.21  | (109) 27.50  | (096) 24.00  | (121) 39.13  | (122) 37.00 | (099) 33.50 |
| Burundi                                  | (142) 40.50 | (132) 38.02 | (130) 57.75  | (108) 28.88  | (103) 29.00  | (094) 21.00 | (127) 43.40  | (125) 39.83  | (090) 23.00  | (073) 19.00  | (092) 26.25 | (072) 24.50 |
| Ethiopia                                 | (143) 40.58 | (137) 39.57 | (127) 56.60  | (139) 49.38  | (140) 49.00  | (142) 47.75 | (150) 63.00  | (160) 75.00  | (131) 42.00  | (112) 37.00  | (124) 37.50 | (107) 37.50 |
| Cambodia                                 | (144) 40.97 | (143) 41.81 | (117) 55.00  | (128) 43.83  | (117) 35.17  | (126) 35.50 | (085) 25.33  | (108) 27.25  | (090) 23.00  | (109) 36.50  | (081) 19.50 | (071) 24.25 |
| Burma                                    | (145) 41.43 | (151) 44.71 | (169) 100.00 | (174) 94.50  | (171) 102.67 | (170) 94.38 | (164) 93.75  | (164) 94.75  | (163) 88.83  | (165) 103.63 | (164) 95.50 | (137) 96.83 |
| Bangladesh                               | (146) 42.58 | (144) 42.01 | (129) 57.00  | (126) 42.50  | (121) 37.33  | (136) 42.70 | (134) 53.17  | (137) 48.00  | (151) 61.25  | (151) 62.50  | (143) 46.50 | (118) 43.75 |
| Malaysia                                 | (147) 42.73 | (145) 42.73 | (122) 56.00  | (141) 50.75  | (131) 44.25  | (132) 39.50 | (124) 41.00  | (092) 22.25  | (113) 33.00  | (122) 39.83  | (104) 32.00 | (110) 37.83 |
| Russia                                   | (148) 42.78 | (148) 43.42 | (142) 66.00  | (140) 49.90  | (153) 60.88  | (141) 47.50 | (144) 56.90  | (147) 52.50  | (138) 48.67  | (140) 51.38  | (148) 49.50 | (121) 48.00 |
| Philippines                              | (149) 43.69 | (147) 43.11 | (140) 64.50  | (156) 60.00  | (122) 38.25  | (139) 45.00 | (128) 44.75  | (142) 51.00  | (139) 50.00  | (111) 36.63  | (118) 35.25 | (089) 29.00 |
| Singapore                                | (150) 44.29 | (149) 43.43 | (135) 61.00  | (136) 47.50  | (133) 45.00  | (144) 49.00 | (141) 56.00  | (146) 51.50  | (140) 50.67  | (147) 57.00  | (144) 47.33 | N/A         |
| Democratic Republic of the Congo         | (151) 44.64 | (142) 41.66 | (145) 67.67  | (148) 51.83  | (146) 53.50  | (148) 51.25 | (133) 50.50  | (142) 51.00  | (146) 57.33  | (141) 51.50  | (127) 38.50 | (113) 40.75 |
| Mexico                                   | (152) 45.04 | (153) 45.30 | (149) 72.67  | (136) 47.50  | (137) 48.25  | (140) 46.13 | (136) 53.63  | (132) 45.83  | (135) 45.50  | (096) 27.83  | (074) 17.67 | (075) 24.75 |
| Iraq                                     | (153) 45.44 | (150) 44.67 | (152) 75.36  | (130) 45.58  | (145) 53.30  | (158) 59.38 | (157) 67.83  | (154) 66.83  | (157) 67.00  | (148) 58.50  | (124) 37.50 | (130) 79.00 |
| Turkey                                   | (154) 45.87 | (154) 46.56 | (148) 70.00  | (138) 49.25  | (122) 38.25  | (102) 22.75 | (101) 31.25  | (098) 25.00  | (098) 25.00  | (113) 37.25  | (115) 35.00 | (099) 33.50 |
| Gambia                                   | (155) 46.42 | (152) 45.09 | (141) 65.50  | (125) 40.50  | (137) 48.25  | (137) 42.75 | (130) 48.25  | (149) 54.00  | (130) 41.00  | (098) 29.50  | (077) 18.25 | (064) 22.50 |
| Swaziland                                | (156) 46.76 | (155) 46.76 | (144) 67.00  | (155) 57.50  | (144) 52.50  | (147) 50.50 | (138) 54.50  | (127) 40.50  | (118) 35.00  | (101) 31.00  | (124) 37.50 | (089) 29.00 |
| Belarus                                  | (157) 47.82 | (157) 48.35 | (168) 99.00  | (154) 57.00  | (151) 59.50  | (154) 58.33 | (151) 63.63  | (151) 57.00  | (152) 61.33  | (144) 54.10  | (151) 52.00 | (124) 52.17 |
| Pakistan                                 | (158) 51.46 | (159) 51.31 | (151) 75.00  | (151) 56.17  | (159) 65.67  | (152) 54.88 | (152) 64.83  | (157) 70.33  | (150) 60.75  | (150) 61.75  | (128) 39.00 | (119) 44.67 |
| Egypt                                    | (159) 51.89 | (158) 48.66 | (166) 97.50  | (127) 43.33  | (143) 51.38  | (146) 50.25 | (146) 58.00  | (133) 46.25  | (143) 52.00  | (128) 43.50  | (110) 34.25 | (101) 34.50 |
| Azerbaijan                               | (160) 52.87 | (156) 47.73 | (162) 87.25  | (152) 56.38  | (146) 53.50  | (150) 53.63 | (139) 55.40  | (135) 47.00  | (141) 51.00  | (136) 49.67  | (113) 34.50 | (101) 34.50 |
| Kazakhstan                               | (161) 54.94 | (160) 55.08 | (154) 77.50  | (162) 68.50  | (142) 49.67  | (125) 35.33 | (125) 41.63  | (128) 41.00  | (119) 36.17  | (131) 44.17  | (138) 42.50 | (116) 42.00 |
| Rwanda                                   | (162) 56.57 | (161) 55.46 | (156) 81.00  | (169) 81.00  | (157) 64.67  | (145) 50.00 | (147) 58.88  | (128) 41.00  | (122) 38.00  | (113) 37.25  | (110) 34.25 | (107) 37.50 |
| Bahrain                                  | (163) 58.26 | (165) 62.75 | (173) 125.00 | (144) 51.38  | (119) 36.50  | (096) 21.17 | (118) 38.00  | (111) 28.00  | (123) 38.75  | (143) 52.50  | (117) 35.17 | (067) 23.00 |
| Saudi Arabia                             | (164) 58.30 | (163) 56.88 | (158) 83.25  | (157) 61.50  | (163) 76.50  | (161) 61.75 | (148) 59.75  | (161) 76.00  | (154) 66.00  | (159) 79.17  | (156) 71.50 | (125) 62.50 |
| Sri Lanka                                | (165) 59.13 | (162) 56.59 | (163) 87.50  | (158) 62.50  | (162) 75.00  | (165) 78.00 | (156) 67.50  | (141) 50.75  | (115) 33.25  | (109) 36.50  | (089) 24.83 | (051) 15.75 |
| Uzbekistan                               | (166) 61.01 | (164) 60.39 | (157) 83.00  | (163) 71.50  | (160) 67.67  | (162) 62.70 | (160) 74.88  | (158) 71.00  | (155) 66.50  | (142) 52.13  | (154) 61.50 | (120) 45.00 |
| Yemen                                    | (167) 67.26 | (169) 69.22 | (171) 101.00 | (170) 82.13  | (167) 83.38  | (155) 59.00 | (143) 56.67  | (149) 54.00  | (136) 46.25  | (135) 48.00  | (136) 41.83 | (103) 34.75 |
| Equatorial Guinea                        | (168) 67.95 | (166) 67.20 | (161) 86.00  | (167) 79.00  | (158) 65.50  | (156) 59.25 | (153) 65.25  | (137) 48.00  | (133) 44.00  | (133) 46.25  | (139) 44.75 | (117) 42.75 |
| Djibouti                                 | (169) 70.34 | (167) 67.40 | (159) 83.50  | (110) 30.50  | (110) 31.00  | (134) 41.50 | (132) 50.25  | (121) 33.00  | (121) 37.00  | (145) 55.00  | (120) 35.50 | (096) 31.25 |
| Cuba                                     | (170) 70.92 | (171) 71.64 | (167) 98.83  | (166) 78.00  | (170) 94.00  | (169) 88.33 | (165) 96.17  | (165) 95.00  | (161) 87.00  | (166) 106.83 | (165) 97.83 | (134) 90.25 |
| Laos                                     | (171) 71.22 | (168) 67.99 | (165) 89.00  | (168) 80.50  | (169) 92.00  | (164) 70.00 | (161) 75.00  | (156) 67.50  | (155) 66.50  | (153) 64.33  | (163) 94.83 | (133) 89.00 |
| Sudan                                    | (172) 71.88 | (170) 70.06 | (170) 100.75 | (172) 85.33  | (148) 54.00  | (135) 42.00 | (140) 55.75  | (139) 48.13  | (133) 44.00  | (132) 44.25  | (142) 45.75 | (105) 36.00 |
| Iran                                     | (173) 72.29 | (174) 73.40 | (175) 136.60 | (175) 94.56  | (172) 104.14 | (166) 80.33 | (166) 96.50  | (162) 90.88  | (164) 89.17  | (158) 78.30  | (160) 89.33 | (122) 48.25 |
| Vietnam                                  | (174) 72.36 | (172) 71.78 | (172) 114.00 | (165) 75.75  | (166) 81.67  | (168) 86.17 | (162) 79.25  | (155) 67.25  | (158) 73.25  | (161) 86.88  | (159) 89.17 | (131) 81.25 |
| China                                    | (175) 72.91 | (173) 73.07 | (174) 136.00 | (171) 84.67  | (168) 84.50  | (167) 85.50 | (163) 89.00  | (163) 94.00  | (159) 83.00  | (162) 92.33  | (161) 91.25 | (138) 97.00 |
| Somalia                                  | (176) 73.19 | (175) 73.59 | (164) 88.33  | (161) 66.00  | (164) 77.50  | (153) 58.00 | (159) 71.50  | (144) 51.25  | (149) 59.00  | (128) 43.50  | (140) 45.00 | N/A         |
| Syria                                    | (177) 77.04 | (176) 78.53 | (176) 138.00 | (173) 91.50  | (165) 78.00  | (159) 59.63 | (154) 66.00  | (153) 63.00  | (145) 55.00  | (155) 67.50  | (155) 67.50 | (126) 62.83 |
| Turkmenistan                             | (178) 80.81 | (177) 79.14 | (177) 140.67 | (176) 95.33  | (173) 107.00 | (171) 95.50 | (167) 103.75 | (167) 98.50  | (165) 93.50  | (164) 99.83  | (158) 82.83 | (136) 91.50 |
| North Korea                              | (179) 81.96 | (178) 83.90 | (178) 141.00 | (177) 104.75 | (174) 112.50 | (172) 96.50 | (168) 108.75 | (168) 109.00 | (167) 109.00 | (167) 107.50 | (166) 99.50 | (139) 97.50 |
| Eritrea                                  | (180) 84.83 | (179) 84.83 | (179) 142.00 | (178) 105.00 | (175) 115.50 | (173) 97.50 | (169) 114.75 | (166) 97.50  | (166) 99.75  | (163) 93.25  | (162) 91.50 | (132) 83.67 |
| United States (extraterritorial)         | N/A         | N/A         | (057) 19.00  | (099) 27.00  | (108) 30.00  | (119) 31.00 | (111) 36.00  | (119) 31.50  | (137) 48.50  | (108) 36.00  | (135) 41.00 | N/A         |
| Israel (extraterritorial)                | N/A         | N/A         | (133) 59.00  | (132) 47.00  | (150) 55.50  | (149) 51.50 | (103) 32.00  | (135) 47.00  | N/A          | (115) 37.50  | (146) 49.00 | N/A         |
| Grenada                                  | N/A         | N/A         | N/A          | N/A          | N/A          | N/A         | N/A          | N/A          | N/A          | (055) 12.00  | N/A         | N/A         |
