"Year","City","State, province, dept., etc.","Country","Notes"
"1819","Memphis","Tennessee","United States","Near the site of the earlier French Fort Prudhomme."
"1819","Palmeira","Paraná","Brazil",""
"1819","Tuscaloosa","Alabama","United States","Former state capital, grew from former Native American settlements beginning in 1580. [18]"
"1820","Cotegipe","Bahia","Brazil",""
"1821","Little Rock","Arkansas","United States",""
"1821","Indianapolis","Indiana","United States",""
"1821","Jefferson City","Missouri","United States",""
"1821","Decatur","Alabama","United States",""
"1822","Ponta Grossa","Paraná","Brazil",""
"1822","Jackson","Mississippi","United States",""
"1823","Tampa","Florida","United States","Grew from earlier military post Fort Brooke."
"1824","Vancouver","Washington","United States",""
"1824","Tallahassee","Florida","United States",""
"1825","Vicksburg","Mississippi","United States",""
"1825","Grand Rapids","Michigan","United States",""
"1825","Syracuse","New York","United States","incorporated as village; received city charter in 1847"
"1826","Ipiranga","Paraná","Brazil",""
"1826","London","Ontario","Canada",""
"1827","Fort Leavenworth","Kansas","United States",""
"1827","St. Andrews","Florida","United States","Now part of Panama City"
"1831","Greenville","South Carolina","United States",""
"1831","Piracanjuba","Goiás","Brazil",""
"1832","Goianinha","Rio Grande do Norte","Brazil",""
"1828","Key West","Florida","United States",""
"1832","Touros","Rio Grande do Norte","Brazil",""
"1833","Bananeiras","Paraíba","Brazil",""
"1833","Juazeiro","Bahia","Brazil",""
"1833","Kitchener","Ontario","Canada","Originally called Berlin."
"1833","Milwaukee","Wisconsin","United States",""
"1833","Nazaré da Mata","Pernambuco","Brazil","Declared vila in 1833; cidade in 1850."
"1833","Rio Formoso","Pernambuco","Brazil","Declared vila in 1833; cidade in 1850."
"1833","Vassouras","Rio de Janeiro","Brazil",""
"1835","Austin","Texas","United States",""
"1835","Barra do Corda","Maranhão","Brazil",""
"1835","Curupuru","Maranhão","Brazil","Declared vila in 1841; cidade in 1920."
"1836","Davenport","Iowa","United States",""
"1836","Oshawa","Ontario","Canada",""
"1836","Shreveport","Louisiana","United States",""
"1836","Madison","Wisconsin","United States",""
"1837","Glória do Goitá","Pernambuco","Brazil","Declared vila in 1877; cidade in 1884."
"1837","Lansing","Michigan","United States",""
"1837","Houston","Texas","United States",""
"1838","Divina Pastora","Sergipe","Brazil",""
"1838","Kansas City","Missouri","United States",""
"1838","St Paul","Minnesota","United States",""
"1839","Santa Rita","Paraíba","Brazil","Declared vila in 1890; cidade in 1924."
"1840","Summerside","Prince Edward Island","Canada",""
"1841","Cedar Rapids","Iowa","United States",""
"1841","Dallas","Texas","United States",""
"1842","Piatã","Bahia","Brazil",""
"1842","Salem","Oregon","United States",""
"1843","Atlanta","Georgia","United States","Originally known as Marthasville, Georgia."
"1843","Des Moines","Iowa","United States",""
"1843","Stanley","East Falkland","Falkland Islands",""
"1843","Uruguaiana","Rio Grande do Sul","Brazil","Declared vila in 1846; cidade in 1874."
"1843","Victoria","British Columbia","Canada",""
"1844","Lençóis","Bahia","Brazil",""
"1845","Araruna","Paraíba","Brazil",""
"1845","Portland","Oregon","United States",""
"1847","Alagoa Grande","Paraíba","Brazil","Declared vila in 1865; cidade in 1908."
"1847","Salt Lake City","Utah","United States","Originally known as Great Salt Lake City."
"1848","Caruaru","Pernambuco","Brazil","First municipality in the [Agreste] region of Pernambuco state, Brazil."
"1848","Rio Verde","Goiás","Brazil",""
"1848","Sacramento","California","United States",""
"1849","Provo","Utah","United States",""
"1850","Bytown","Ontario","Canada","Now Ottawa, Ontario."
"1851","San Luis","Colorado","United States",""
"1851","Seattle","Washington","United States",""
"1852","Mossoró","Rio Grande do Norte","Brazil",""
"1852","São José dos Pinhais","Paraná","Brazil",""
"1853","Olympia","Washington","United States",""
"1854","Omaha","Nebraska","United States",""
"1854","Anajatuba","Maranhão","Brazil",""
"1854","Topeka","Kansas","United States",""
"1855","Aracaju","Sergipe","Brazil",""
"1856","Lincoln","Nebraska","United States","Originally called Lancaster."
"1856","O'Fallon","Missouri","United States",""
"1856","Sioux Falls","South Dakota","United States",""
"1857","Boquim","Sergipe","Brazil",""
"1858","Carson City","Nevada","United States",""
"1858","Denver","Colorado","United States",""
"1859","Yankton","South Dakota","United States",""
"1860","Chico","California","United States",""
"1863","Boise","Idaho","United States",""
"1863","Wichita","Kansas","United States",""
"1864","Casper","Wyoming","United States","Originally called Platte Bridge Station."
"1864","Helena","Montana","United States",""
"1864","Salinas","California","United States.","[19]"
"1866","Prince Albert","Saskatchewan","Canada","Settled by Rev. James Nisbet. Incorporated as city (population 5000+) October 8, 1904"
"1867","Cheyenne","Wyoming","United States",""
"1867","Gameleira","Pernambuco","Brazil",""
"1867","Minneapolis","Minnesota","United States",""
"1868","Colinas","Maranhão","Brazil","Declared vila in 1870; cidade in 1891."
"1868","Phoenix","Arizona","United States",""
"1870","Afogados da Ingazeira","Pernambuco","Brazil",""
"1870","Campo Largo","Paraná","Brazil",""
"1870","Puerto Limon","Limon","Costa Rica",""
"1871","Águas Belas","Pernambuco","Brazil",""
"1871","Alto Parnaíba","Maranhão","Brazil",""
"1871","Birmingham","Alabama","United States",""
"1871","Colorado Springs","Colorado","United States",""
"1871","Fargo","North Dakota","United States",""
"1871","Imbituva","Paraná","Brazil",""
"1871","São João do Triunfo","Paraná","Brazil",""
"1872","Anniston","Alabama","United States",""
"1872","Bismarck","North Dakota","United States",""
"1872","Tibagi","Paraná","Brazil",""
"1873","Jaboatão dos Guararapes","Pernambuco","Brazil","First settlement in 1593; village status in 1873; city status in 1884"
"1873","Timbaúba","Pernambuco","Brazil","Declared vila in 1879; cidade in 1884."
"1875","Orlando","Florida","United States",""
"1875","Calgary","Alberta","Canada","Grew from Fort Calgary"
"1875","Humboldt","Saskatchewan","Canada","Incorporated as a city (population 5000+) November 7, 2000"
"1876","Boa Vista","Paraíba","Brazil",""
"1876","Cajapió","Maranhão","Brazil",""
"1876","Rapid City","South Dakota","United States",""
"1877","Billings","Montana","United States",""
"1877","Jaquimeyes","Barahona","Dominican Republic",""
"1878","Coeur d'Alene","Idaho","United States",""
"1878","Colombo","Paraná","Brazil",""
"1879","Vicência","Pernambuco","Brazil","Declared vila in 1891; cidade in 1928."
"1880","Pierre","South Dakota","United States",""
"1881","Juneau","Alaska","United States",""
"1881","Moose Jaw","Saskatchewan","Canada","Incorporated as a city (population 5000+) November 1903."
"1882","Brandon","Manitoba","Canada",""
"1882","Mao","Valverde","Dominican Republic",""
"1882","Restauración","Dajabón","Dominican Republic",""
"1882","Yorkton","Saskatchewan","Canada","The York Farmers’ Colonization Company Limited settlement May 12, 1882. City (population 5000+) incorporated February 1, 1928."
"1882","Swift Current","Saskatchewan","Canada","Canadian Pacific Railway arrival December 10, 1882. City (population 5000+) incorporated January 15, 1914."
"1882","Regina","Saskatchewan","Canada","Settlement first named Pile O' Bones, and renamed Regina. Capital city of SK. Incorporated as a city (population 5000+) June 19, 1903"
"1882","Rio Branco","Acre","Brazil",""
"1883","Saskatoon","Saskatchewan","Canada","Temperance Colony founded at Nutana. Riversdale, Nutana, and Saskatoon incorporated as a city (population 5000+) in 1906."
"1884","Melfort","Saskatchewan","Canada","Stoney Creek Settlement began in 1884. Incorporated as a city (population 5000+) on July 1, 1907."
"1886","Vancouver","British Columbia","Canada",""
"1886","Nelson","British Columbia","Canada",""
"1887","Gulfport","Mississippi","United States","[20]"
"1888","Virginia Beach","Virginia","United States","Grew from Seatack community."
"1889","Oklahoma City","Oklahoma","United States",""
"1890","Ijuí","Rio Grande do Sul","Brazil",""
"1892","Aliança","Pernambuco","Brazil","Declared vila in 1909; cidade in 1928."
"1892","Catende","Pernambuco","Brazil","Created in 1892 as a district of Palmares. Autonomous municipality in 1909."
"1892","Estevan","Saskatchewan","Canada","CPR arrives 1893. Incorporated as city (population 5000+) March 1, 1957"
"1892","Guayaramerín","Beni","Bolivia",""
"1892","Restauración","Dajabón","Dominican Republic",""
"1893","Araripina","Pernambuco","Brazil","Created in 1893 as a district of Ouricuri. Autonomous municipality in 1928."
"1893","Catuípe","Rio Grande do Sul","Brazil",""
"1894","Riberalta","Beni","Bolivia",""
"1895","Traverse City","Michigan","United States",""
"1896","Condado","Pernambuco","Brazil","Declared cidade in 1958."
"1896","Inhumas","Goiás","Brazil",""
"1896","Miami","Florida","United States",""
"1896","Santa Catalina la Tinta","Alta Verapaz","Guatemala",""
"1897","Jequié","Bahia","Brazil",""
"1898","Tulsa","Oklahoma","United States",""
"1898","Weyburn","Saskatchewan","Canada","Signal Hill settlement. Weyburn incorporated as a city (population 5000+) 1913."
"1898","Chetumal","Quintana Roo","Mexico","Originally called Payo Obispo."
"1899","Porto Acre","Acre","Brazil",""
"1900","Afrânio","Pernambuco","Brazil","Created in 1900 as a district of Petrolina. Autonomous municipality in 1963."
"1903","Lloydminster","Saskatchewan","Canada","Brittania colony settled by Rev. Exton Lloyd and Rev. Isaac Barr. Incorporated as a city (population 5000+) in 1958."
"1904","Cruzeiro do Sul","Acre","Brazil",""
"1904","Grytviken","","South Georgia",""
"1904","Sena Madureira","Acre","Brazil",""
"1904","Xapuri","Acre","Brazil",""
"1906","Cobija","Pando","Bolivia",""
"1906","Feijó","Acre","Brazil",""
"1907","Melville","Saskatchewan","Canada","Incorporated as a city (population 5000+) August 1, 1960"
"1907","Tarauacá","Acre","Brazil",""
"1908","São Mateus do Sul","Paraná","Brazil",""
"1909","Estreito","Maranhão","Brazil",""
"1910","Brasiléia","Acre","Brazil",""
"1910","Kindersley","Saskatchewan","Canada",""
"1910","Porto Walter","Acre","Brazil",""
"1910","Villazón","Potosí","Bolivia",""
"1911","Las Vegas","Nevada","United States",""
"1914","Anchorage","Alaska","United States",""
"1929","Pabellón de Arteaga","Aguascalientes","Mexico",""
"1931","Loreto","Zacatecas","Mexico",""
"1935","Yellowknife","Northwest Territories","Canada",""
"1942","Iqaluit","Nunavut","Canada","Originally called Frobisher Bay."
"1955","Freeport","Grand Bahama","Bahamas",""
"1957","Ciudad del Este","Alto Paraná","Paraguay","Originally called Puerto Flor de Lis."
"1957","Rankin Inlet","Nunavut","Canada",""
"1960","Brasília","Distrito Federal","Brazil","Created in 1960 as the national capital."
"1970","Belmopan","Cayo","Belize",""
"1970","Linden","Upper Demerara-Berbice","Guyana","City formed by combining the towns of Christianburg, MacKenzie, and Wismar."
"1970","Cancún","Quintana Roo","Mexico",""
"1989","Palmas","Tocantins","Brazil","Was founded 1 year after the creation of the State of Tocantins. It's the newest and smallest Brazilian capital city."
