"Town name","County","Established","Disestablished","Current Status","Remarks"
"Ohio City","Franklin County","1857","1864","Nothing remains of the townsite.","Was the county seat from 1861 until 1864."
"Williamsport","Shawnee County","1857","","Nothing remains of the townsite.",""
"Camp Whiteside","Geary County","","1930s","Nothing remains of the site.",""
"Toledo","Chase County","1860","","A cemetery and some farms are all that remain.",""
"Wauneta","Chautauqua County","","Post office closed in 1931","A United Methodist Church is located on K-166 east of Cedarvale.",""
"Union Center","Elk County","1868","","Nothing remains of the townsite.",""
"Geneva","Allen County","1857","Post office closed in 1942.","Little remains of the townsite.",""
"Fact","Clay County","unknown","","Little remains of the townsite, a small population remains.",""
"Victor","Mitchell County","","1959","Nothing remains of the townsite.",""
"Shipton","Saline County","","Post office closed in 1895","Nothing remains of the townsite.","The entire town was auctioned off in 1909."
"Black Wolf","Ellsworth County","1879","","A grain elevator and some other buildings remain.","Black Wolf is currently on private property."
"Shaffer","Rush County","1892","","Little remains of the townsite.",""
"Beaver","Barton County","1918","","A small population remains.",""
"Wherry","Rice County","","","Nothing remains of the townsite.","The last building marking the site burned down in 1967."
"Saxman","Rice County","","","A small population (approx. 30) remains.",""
"Roxbury","McPherson County","1866","","A small population (approx. 75) remains.",""
"Ashtabula Colony","McPherson County","1871","","Merged with McPherson.",""
"Medora","Reno County","","","Little remains of the townsite, a small population remains.",""
"Bayneville","Sedgwick County","1884","","Some houses and ruins remain in the area.",""
"Basil","Kingman County","1892","1930s","All that remains is an abandoned grain elevator.","Founded as Gage until 1901."
"Elm Mills","Barber County","1879","","Nothing remains of the townsite.",""
"Touzalin","Meade County","1884","1885","Nothing remains of the townsite.",""
"Centerview","Edwards County","~1880","","Structures still stand, and two families still live on the townsite.",""
"Acres","Clark County","","early 2000s","Town has been completely vacant for a few years. Six buildings remain standing on the townsite, including an elevator & old school.",""
"Croft","Pratt County","","2000s","Two vacant grain elevators, two vacant houses, an old school, and a few ruins remain in this town.",""
