song title#artist#decade#genre#single / pack name#release date#family friendly#additional rock band 3 features
claudette#roy orbison#1980s#pop - rock#roy orbison 01#jan.6 , 2009#yes#none
handlebars#flobots#2000s#alternative#single#oct.6 , 2009#no#none
(we are) the road crew '08#motörhead#2000s#metal#brütal legend#oct.13 , 2009#no#none
the metal#tenacious d#2000s#rock#brütal legend#oct.13 , 2009#yes#none
more than meets the eye#testament#2000s#metal#brütal legend#oct.13 , 2009#no#none
show me the way#black tide#2000s#metal#single#oct.13 , 2009#yes#none
what 's my age again?#blink - 182#1990s#punk#single#oct.13 , 2009#no#none
satch boogie#joe satriani#1980s#rock#single#oct.13 , 2009#yes#none
surfing with the alien#joe satriani#1980s#rock#single#oct.13 , 2009#yes#none
icarus - borne on the wings of steel (live)#kansas#1970s#prog#single#oct.13 , 2009#yes#none
point of know return (live)#kansas#1970s#prog#single#oct.13 , 2009#yes#none
andres#l7#1990s#grunge#single#oct.13 , 2009#no#none
another one bites the dust#queen#1980s#classic rock#queen 01#oct.20 , 2009#no#none
crazy little thing called love#queen#1980s#classic rock#queen 01#oct.20 , 2009#yes#none
one vision#queen#1980s#classic rock#queen 01#oct.20 , 2009#no#pro guitar / bass
fat bottomed girls#queen#1970s#classic rock#queen 01#oct.20 , 2009#no#none
i want it all#queen#1980s#classic rock#queen 01#oct.20 , 2009#yes#pro guitar / bass
i want to break free#queen#1980s#classic rock#queen 01#oct.20 , 2009#no#pro guitar / bass
killer queen#queen#1970s#classic rock#queen 01#oct.20 , 2009#no#pro guitar / bass
somebody to love#queen#1970s#classic rock#queen 01#oct.20 , 2009#no#pro guitar / bass
tie your mother down#queen#1970s#classic rock#queen 01#oct.20 , 2009#no#none
under pressure#queen#1980s#classic rock#queen 01#oct.20 , 2009#yes#pro guitar / bass
dragula#rob zombie#1990s#nu - metal#rob zombie 01#oct.27 , 2009#no#none
burn#rob zombie#2000s#nu - metal#rob zombie 01#oct.27 , 2009#no#none
superbeast#rob zombie#1990s#nu - metal#rob zombie 01#oct.27 , 2009#no#none
white unicorn#wolfmother#2000s#rock#wolfmother 01#oct.27 , 2009#no#none
new moon rising#wolfmother#2000s#rock#wolfmother 01#oct.27 , 2009#yes#none
pilgrim#wolfmother#2000s#rock#wolfmother 01#oct.27 , 2009#yes#none
sundial#wolfmother#2000s#rock#wolfmother 01#oct.27 , 2009#yes#none
woman#wolfmother#2000s#rock#wolfmother 01#oct.27 , 2009#yes#none
rock me#liz phair#2000s#pop - rock#single#oct.27 , 2009#no#none
best of me#morningwood#2000s#pop - rock#single#oct.27 , 2009#yes#none
sugarbaby#morningwood#2000s#pop - rock#single#oct.27 , 2009#no#none
best of you#foo fighters#2000s#alternative#foo fighters 03#nov.3 , 2009#yes#none
the pretender#foo fighters#2000s#alternative#foo fighters 03#nov.3 , 2009#yes#pro guitar / bass
wheels#foo fighters#2000s#alternative#foo fighters 03#nov.3 , 2009#yes#none
word forward#foo fighters#2000s#alternative#foo fighters 03#nov.3 , 2009#yes#none
about a girl#nirvana#1980s#grunge#nirvana bleach#nov.3 , 2009#yes#none
blew#nirvana#1980s#grunge#nirvana bleach#nov.3 , 2009#yes#none
school#nirvana#1980s#grunge#nirvana bleach#nov.3 , 2009#yes#none
fake friends#joan jett & the blackhearts#1980s#punk#single#nov.3 , 2009#yes#none
a day like this#spongebob squarepants#2000s#other#spongebob squarepants 02#nov.10 , 2009#yes#none
employee of the month#spongebob squarepants#2000s#other#spongebob squarepants 02#nov.10 , 2009#yes#none
ridin' the hook#spongebob squarepants#2000s#other#spongebob squarepants 02#nov.10 , 2009#yes#none
dead leaves and the dirty ground#the white stripes#2000s#rock#the white stripes 01#nov.10 , 2009#yes#pro guitar / bass
girl , you have no faith in medicine#the white stripes#2000s#rock#the white stripes 01#nov.10 , 2009#yes#none
icky thump#the white stripes#2000s#rock#the white stripes 01#nov.10 , 2009#no#none
smash it up (part ii)#the damned#1970s#punk#single#nov.10 , 2009#yes#none
club foot#kasabian#2000s#rock#single#nov.10 , 2009#yes#none
beautiful thieves#afi#2000s#alternative#afi 01#nov.17 , 2009#no#none
end transmission#afi#2000s#alternative#afi 01#nov.17 , 2009#no#none
love like winter#afi#2000s#alternative#afi 01#nov.17 , 2009#no#none
medicate#afi#2000s#alternative#afi 01#nov.17 , 2009#no#none
the leaving song pt. ii#afi#2000s#alternative#afi 01#nov.17 , 2009#no#none
walk like an egyptian#the bangles#1980s#rock#single#nov.17 , 2009#yes#none
new fang#them crooked vultures#2000s#rock#single#nov.17 , 2009#yes#none
a thing about you (live)#tom petty and the heartbreakers#2000s#rock#tom petty & the heartbreakers live anthology 01#nov.24 , 2009#yes#none
american girl (live)#tom petty and the heartbreakers#2000s#rock#tom petty & the heartbreakers live anthology 01#nov.24 , 2009#no#none
even the losers (live)#tom petty and the heartbreakers#2000s#rock#tom petty & the heartbreakers live anthology 01#nov.24 , 2009#no#none
here comes my girl (live)#tom petty and the heartbreakers#2000s#rock#tom petty & the heartbreakers live anthology 01#nov.24 , 2009#yes#none
mary jane 's last dance (live)#tom petty and the heartbreakers#2000s#rock#tom petty & the heartbreakers live anthology 01#nov.24 , 2009#no#none
refugee (live)#tom petty and the heartbreakers#2000s#rock#tom petty & the heartbreakers live anthology 01#nov.24 , 2009#yes#none
miss independent#kelly clarkson#2000s#pop - rock#single#nov.24 , 2009#yes#none
who knew#p!nk#2000s#pop - rock#single#nov.24 , 2009#yes#none
our lips are sealed#the go - go 's#1980s#pop - rock#single#nov.24 , 2009#yes#none
come as you are (live from mtv unplugged )#nirvana#1990s#grunge#nirvana 02#dec.1 , 2009#yes#pro guitar / bass
lithium ( live at reading )#nirvana#2000s#grunge#nirvana 02#dec.1 , 2009#no#pro guitar / bass
smells like teen spirit#nirvana#1990s#grunge#nirvana 02#dec.1 , 2009#no#pro guitar / bass
(you can still) rock in america#night ranger#1980s#rock#night ranger 01#dec.1 , 2009#yes#none
don't tell me you love me#night ranger#1980s#rock#night ranger 01#dec.1 , 2009#yes#none
you 're gonna hear from me#night ranger#2000s#rock#night ranger 01#dec.1 , 2009#yes#none
duality#slipknot#2000s#nu - metal#slipknot 01#dec.8 , 2009#no#none
psychosocial#slipknot#2000s#nu - metal#slipknot 01#dec.8 , 2009#no#none
sulfur#slipknot#2000s#nu - metal#slipknot 01#dec.8 , 2009#no#none
i am a rock#simon & garfunkel#1960s#classic rock#single#dec.8 , 2009#yes#none
the sounds of silence#simon & garfunkel#1960s#classic rock#single#dec.8 , 2009#yes#none
dreaming of love#lights resolve#2000s#indie rock#single#dec.8 , 2009#yes#none
christian 's inferno#green day#2000s#rock#green day 02#dec.15 , 2009#no#backing vocals
last of the american girls#green day#2000s#rock#green day 02#dec.15 , 2009#yes#backing vocals
¡viva la gloria!#green day#2000s#rock#green day 02#dec.15 , 2009#yes#backing vocals
kings and queens#30 seconds to mars#2000s#emo#single#dec.15 , 2009#no#none
this is war#30 seconds to mars#2000s#emo#single#dec.15 , 2009#no#none
gives you hell#all - american rejects#2000s#emo#single#dec.15 , 2009#no#none
beverly hills#weezer#2000s#rock#weezer 03#dec.22 , 2009#no#none
let it all hang out#weezer#2000s#rock#weezer 03#dec.22 , 2009#no#none
build a bridge#limp bizkit#2000s#nu - metal#single#dec.22 , 2009#yes#none
a lot like me#the offspring#2000s#rock#single#dec.22 , 2009#yes#none
ocean avenue#yellowcard#2000s#emo#single#dec.22 , 2009#yes#none
any man of mine#shania twain#1990s#country#going country 02#dec.29 , 2009#no#none
cry lonely#cross canadian ragweed#2000s#country#going country 02#dec.29 , 2009#no#none
good time#alan jackson#2000s#country#going country 02#dec.29 , 2009#no#none
i told you so#keith urban#2000s#country#going country 02#dec.29 , 2009#no#none
she 's country#jason aldean#2000s#country#going country 02#dec.29 , 2009#no#none
the gambler#kenny rogers#1970s#country#going country 02#dec.29 , 2009#no#none
